encriptado	GOL (BASE STOCK SEP 2019)	SEGMENTO CORFO	Principal compañía	Filtro1 - Filtro 1: ¿Es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?	P1 - 1. En su empresa, ¿con qué compañías tiene contratado los servicios móviles como teléfonos o banda ancha móvil? (respuesta múltiple)	3. Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 =  Muy insatisfecho y 7 =  Muy satisfecho, ¿Cuán satisfecho está Ud. con {#Principal}?	"P4 - 4.	¿Por qué evalúa con esa nota? LITERAL"	P5__1 - a) {#Principal} es una empresa con buena imagen en general :	P6 - 6. ¿Y con qué nota de 1 a 7, evalúa a {#Principal} en cuanto a la Calidad y Cobertura de las llamadas?	"P7 - 7.	Ahora pensando en la navegación a través de su celular, es decir internet móvil empresa contratado con {#Principal}, ¿Con qué nota de 1 a 7, evalúa la navegación a través del celular?"	"P8 - 8.	Y en lo que respecta  a Servicio a Clientes, ¿cuán satisfecho está Ud. con {#Principal}"	"P9__1 - a)	Precio del Plan en relación al mercado (Competitividad) :"	"P9__2 - b)	Competitividad de planes en cuanto a minutos :"	"P9__3 - c)	Competitividad de planes en cuanto a Internet Móvil o internet en su celular :"	"P9__4 - d)	El precio de los equipos en relación al mercado :"	P10__1 - Contratación de nuevas líneas :	"P10__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P10__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P10__5 - Solicitar cambio de plan :	P10__6 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P10__7 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P11__1 - Contratación de nuevas líneas :	"P11__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P11__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P11__5 - Solicitar cambio de plan :	P11__6 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P11__7 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P12__1 - Contratación de nuevas líneas :	"P12__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P12__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P12__5 - Solicitar cambio de plan :	P12__6 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P12__7 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P13__1 - 1: Ejecutivo asignado para su empresa :	P13__2 - 2: Call center :	P13__3 - 3: Página Web {#Principal} Empresas :	P13__4 - 4: En tiendas/ sucursales :	P13__5 - 5: App Administradores Empresa :	"P16 - FACTURACIÓN: 
       16. En cuanto a la Facturación de todos los servicios móviles que tiene con {#Principal}, en una escala de 1 a 7 ¿Cómo evalúa el proceso de facturación de {#Principal} en general?"	"P17 - PROBLEMAS 
         17. En los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por {#Principal}?"	"P18 - 18.	¿Qué problema ha tenido? Sondear LITERAL"	"P19 - 19.	¿Comunicó este problema a {#Principal}?"	"P20 - 20.	¿Y fue solucionado su problema?"	"P21 - LEALTAD 
         Ahora pensando en todos los servicios que recibe con {#Principal} en general y en la relación que tiene con esta compañía, me podría decir… 
     
         21. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7"	P22 - 22. Pensando como cliente empresa, y en su opinión ¿Cuál diría Ud. qué es la mejor compañía de servicios móviles? (Leer opciones, respuesta única)	"P24 - 24.	En base a una escala de 0 a 10, donde 0 significa que definitivamente no recomendaría, y 10 que definitivamente si recomendaría, ¿Qué tan dispuesto estaría usted a recomendar a {#Principal}?"	P_2 - 2) ¿Cuál de estas categorías calza mejor con el giro de su empresa? (Leer opciones, respuesta única)	"P_3A - 3)	¿Hace cuánto tiempo que tiene esta cuenta con {#Principal}? 
            AÑOS"	P_3B - MESES	"P_4 - 4)	¿ Pensando en su relación con {#Principal} ¿Tiene asignado un ejecutivo para sus necesidades comerciales y/o de post venta?"
ooCaUZK4IfXx	Mas	MICRO	ENTEL	SI -> CONTINUAR	Entel	6	Porque es lo mas barato que consigue la idea es que siempre este renovando o actualizando los palanes respecto al mercado	7	6	6	7	6	7	6	9. NS/NR	No	Si	No	No	No	No	NA	7	NA	NA	NA	NA	NA	1.Ejecutivo asignado para su empresa	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	No	NA	NA	NA	7	7	9	"6.	Servicios"	15	0	Sí
YqA32NGx3o1D	Mas	PEQUEÑA	ENTEL	SI -> CONTINUAR	Entel	6	en tiempo de pandemia fue buena la coexion, recepcion de cuarebntena, pero tuve que aumenta considferablemente las cuentas y ajustar los planes, los planes son muy caros	5	7	7	5	3	7	7	1	No	No	No	Si	Si	No	NA	NA	NA	7	1	NA	NA	NA	NA	2.Call center	2.Call center	NA	NA	7	NA	NA	NA	7	Sí	tema de datos,me ha fallado la conexional internert 4g pero no es problema del telñefono sino de la señal 4g, se cae. abaraten los planes. cuando yo contrate los servicios de entel pase a empresa, durante sel tuiempo no me ha cionvenido cambiado mipllan de condicion juridica, ´pero las personas nmaturales tienen mas beneficios para cambiatr sus equuipos por sus puntios de aculuacion, a las personas de empresa no le dan esas facilidades, una persona contratada con persona tiene como sacar los trelefono de manera gratis y eso que pagamos lo mismo.	Sí	Si	7	7	10	"6.	Servicios"	13	0	No
5ASFXlxfaLa5	Mas	MICRO	ENTEL	SI -> CONTINUAR	Entel	7	PORQUE LA PLATAFORMA HA SIDO AMIGABLE CON EL USO Y LA COBERTURA TAMBIÉN HA IDO DE LA MANO Y HA TENIDO BUENA CALIDAD	7	7	9. NS/NR	7	7	7	9. NS/NR	7	Si	Si	Si	No	No	No	7	7	7	NA	NA	NA	5.App Administradores Empresa <b>(NO la de personas), donde para acceder debe ingresar con su clave de Administrador</b>	5.App Administradores Empresa <b>(NO la de personas), donde para acceder debe ingresar con su clave de Administrador</b>	5.App Administradores Empresa <b>(NO la de personas), donde para acceder debe ingresar con su clave de Administrador</b>	NA	NA	NA	NA	NA	NA	NA	7	7	No	NA	NA	NA	7	7	10	"3.	Industria"	2	0	Sí
okKrF06PsuUG	Mas	PEQUEÑA	ENTEL	SI -> CONTINUAR	Entel	6	PORQUE ENCUENTRO QUE HAY POCOS BENEFICIOS PARA LOS PLANES EMPRES, SOBRE TODO EN CAMBIO DE CELULARES, POR LO MENOS CONSIDERO QUE LOS CELULARES QUE SE VAN PERDIENDO PORQUE SE VAN ECHANDO A PERDER DEBERÍAN SER RECICLADOS POR ELLOS, RECIBIDOS Y A LA VEZ DESCONTADO UNA PARTE PARA PODER COMPRAR OTRO RENOVAR EL CELULAR QUE ES PARA CONTINUAR CON EL SERVICIO, NUNCA TENGO PROBLEMAS DE SEÑA, NUNCA TENGO PROBLEMAS DE COMUNICACIÓN, PARA SOLICITAR ALGÚN VENDEDOR Y HACERLE CONSULTAS Y ESO SE AGRADECE	7	7	7	7	4	7	6	4	No	No	No	Si	No	Si	NA	NA	NA	6	NA	4	NA	NA	NA	2.Call center	NA	2.Call center	NA	6	NA	NA	NA	99. NS/NR	No	NA	NA	NA	7	6	8	"6.	Servicios"	18	0	9. NS/NR
HPfhCflyru3x	Mas	GGEE	ENTEL	SI -> CONTINUAR	Entel	7	"PORQUE NO HE TENIDO NINGÚN PROBLEMA; SIEMPRE FUNCIONA BIEN TANTO EL INTERNET COMO LAS LLAMADAS, NO SE HA CAÍDO COMO LA LÍNEA , NO HEMOS TENIDO NINGÚN PROBLEMA CON LOS PLANES Y CUANDO HEMOS COMPRADO EN ESTE CASO EQUIPOS NOS HA LLEGADO EN LOS TIEMPOS QUE CORRESPONDE Y LO MISMO CON LAS BANDA ANCHA QUE TENEMOS CONTRATADA."	6	6	6	7	7	7	7	6	No	Si	No	No	No	No	NA	7	NA	NA	NA	NA	NA	1.Ejecutivo asignado para su empresa	NA	NA	NA	NA	NA	NA	6	NA	NA	7	No	NA	NA	NA	7	7	9	"2.	Tecnología"	4	0	Sí
ARB74QtkYMkW	Mas	MICRO	ENTEL	SI -> CONTINUAR	Entel	7	por la conectividad que tengo que nunca me ha fallado el internet en realidad no temgo internet en la oficina solo en los telefonos	6	7	7	7	5	5	6	6	Si	Si	Si	Si	No	Si	7	6	6	7	NA	7	2.Call center	3.Página Web  Empresas	2.Call center	2.Call center	NA	4.En tiendas/ sucursales	NA	7	7	NA	NA	7	No	NA	NA	NA	7	7	8	"3.	Industria"	3	0	No
ZSZhgGGFDpiJ	Mas	MICRO	ENTEL	SI -> CONTINUAR	Entel,Movistar	7	UN 7 PORQUE NUNCA HE TENIDO PROBLEMAS CON ENTEL, PORQUE TENGO LAS DOS EMPRESAS Y CON ENTEL NUNCA HE TENIDO PROBLEMA	7	6	6	6	7	7	6	9. NS/NR	No	Si	No	Si	No	No	NA	7	NA	7	NA	NA	NA	4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	NA	NA	7	NA	NA	7	NA	6	No	NA	NA	NA	7	7	9	"6.	Servicios"	3	0	9. NS/NR
d6bJ6poVyTkp	Mas	MICRO	ENTEL	SI -> CONTINUAR	Entel	7	EL SERVICIO ES BUENO EN CUANTO A  CALIDAD Y ATENCIÓN EN SERVICIO,  LA PÁGINA WEB ES DINÁMICA	7	6	6	6	6	5	5	5	Si	No	No	Si	No	No	7	NA	NA	7	NA	NA	4.En tiendas/ sucursales	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	7	6	7	6	No	NA	NA	NA	6	7	9	"6.	Servicios"	2	0	Sí
qgdU5Wj2AP1H	Mas	PEQUEÑA	ENTEL	SI -> CONTINUAR	Entel	6	EL TEMA DE SEÑAL EN ALGUNAS ZONAS	7	6	6	7	5	7	5	7	Si	Si	No	Si	No	Si	7	7	NA	7	NA	7	2.Call center	2.Call center	NA	2.Call center	NA	2.Call center	NA	7	5	NA	7	7	No	NA	NA	NA	7	6	10	"8.	Comercio (al por mayor y menor)"	2	0	No
dDlaB3pgrIkq	Mas	MICRO	ENTEL	SI -> CONTINUAR	Entel	5	porque es una empresa que no esta de acuerdo al mercado no esta alineado con las otras empresas que me han ofrecido tambien planes muy similares y mejores que el que tengo con entel pero entel se mantiene firme con esta posicion y no me mejora los planes por eso principalmente la atencion es buena pero los planes eso es lo que me tiene insatisfecho con entel como se lo acabo de decir a la ejecutiva de entel que vengo saliendo de la oficina de ella pero principalmente por eso principalmente que no estan alineados con otras empresas como wom moviestar o claro que tienen mejores no servicios pero mejores planes mas satisfactorios para uno pero bueno igual sigo con entel	7	6	5	6	5	5	5	5	No	Si	Si	No	No	No	NA	6	5	NA	NA	NA	NA	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	4	7	NA	6	Sí	covertura en llanadas o sea en la comunicacion telefonica  e internet	No	NA	7	6	8	"3.	Industria"	9	0	No
7CuXWDwWaDwH	Mas	MICRO	ENTEL	SI -> CONTINUAR	Entel	7	PORQUE ES LA MEJOR EMPRESA EN TODO PARA MÍ EN TODO PORQUE VIAJO AL NORTE EN UN PUEBLO ACÁ EN CHILE Y ES LA ÚNICA Y EN SANTIAGO ES LA MEJOR QUE ME HA SOLUCIONADO LOS PROBLEMAS EN CUANTO A INTERNET, MI EMPRESA ES DE CURSOS INGLES ONLINE Y TENÍAMOS EL INTERNET CON VTR Y FUE UN TOTAL FRACASO	7	7	7	7	7	7	7	7	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	7	10	"6.	Servicios"	2	0	No
D6HQrvek78FW	Mas	MICRO	ENTEL	SI -> CONTINUAR	Entel	6	Porque en general son rápidos con las respuestas que he solicitado porque por ejemplo llamo necesito algo como datos de un numero y todo eso es diper en general sin rápidos	6	5	5	6	6	6	6	5	No	Si	Si	Si	No	No	NA	6	6	6	NA	NA	NA	5.App Administradores Empresa <b>(NO la de personas), donde para acceder debe ingresar con su clave de Administrador</b>	5.App Administradores Empresa <b>(NO la de personas), donde para acceder debe ingresar con su clave de Administrador</b>	5.App Administradores Empresa <b>(NO la de personas), donde para acceder debe ingresar con su clave de Administrador</b>	NA	NA	NA	NA	NA	NA	7	7	No	NA	NA	NA	7	6	9	"8.	Comercio (al por mayor y menor)"	4	0	No
oviyzkwGX8MV	Mas	PEQUEÑA	ENTEL	SI -> CONTINUAR	Entel	7	PORQUE SIEMPRE FUNCIONAN NO HE TENIDO PROBLEMAS DE CONECTIVIDAD BUEN TRATO CUANDO TENÍA PROBLEMAS	7	5	6	6	9. NS/NR	7	6	7	No	No	No	No	Si	Si	NA	NA	NA	NA	5	7	NA	NA	NA	NA	4.En tiendas/ sucursales	1.Ejecutivo asignado para su empresa	NA	NA	NA	7	NA	7	No	NA	NA	NA	7	7	10	"5.	Salud"	3	0	Sí
OTcB3GMKoVmx	Mas	GGEE	ENTEL	SI -> CONTINUAR	Entel	4	PORQUE ES UN PROMEDIO EL SERVICIO ES MAS O MENOS  EN CUANTO A TODO LA COBERTURA ES MALISIMMA SON INESTABLES Y EL SERVICO AL CLIENTE EN LAS TIENDSAS ES LENTO	4	5	5	4	1	4	3	1	No	Si	No	No	No	No	NA	4	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	NA	NA	NA	NA	NA	NA	99. NS/NR	No	NA	NA	NA	3	3	0	"3.	Industria"	2	6	Sí
1d9Sf68Lh2Sj	Mas	MICRO	ENTEL	SI -> CONTINUAR	Entel	4	porque generalmente en la zona donde yo vivo hay problemas de conectividad no hay internet fijo para la empresa por lo tanto tengo que compartirme directamente desde mi telefono y desde hace dos meses entel ha tenido intermitencia en todo lo que es entonces no tengo otra opcion me tengo que quedar ahi con ellos	5	3	3	4	4	4	4	3	No	No	No	Si	No	No	NA	NA	NA	6	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	1	1	1	NA	4	Sí	dos semanas si conectividad ni telefonia ni internet	Sí	No	1	1	1	"8.	Comercio (al por mayor y menor)"	3	0	No
EPbVCjgo75nX	Mas	MICRO	ENTEL	SI -> CONTINUAR	Entel	7	PORQUE SON EFICIENTES EN EL TEMA DEL SERVICIO Y CUANDO TENGO ALGÚN PROBLEMA ME LO SOLUCIONAN RÁPIDO	7	7	5	7	7	7	5	6	No	Si	No	No	No	No	NA	7	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	NA	7	7	NA	NA	NA	7	Sí	FACTURACION AL FACTURACIÓN AL MOMENTO DE CANCELAR A TRAVÉS DE LA PÁGINA NO HE PODIDO CANCELAR POR UN TEMA DE QUE NO ME FIGURABA DEUDA Y DESPUÉS LLAME AL CALL CENTER Y ERA UN PROBLEMA EN LA PAGINA	Sí	Si	7	7	10	"6.	Servicios"	1	0	Sí
4TS7taRtCOcn	Mas	MICRO	ENTEL	SI -> CONTINUAR	Entel	3	porque el servicio es malo, poca señal y se cae el internet	3	3	5	3	6	5	6	6	No	Si	Si	No	No	No	NA	3	3	NA	NA	NA	NA	2.Call center	2.Call center	NA	NA	NA	NA	4	NA	NA	NA	4	Sí	señal cobertura, no funciona ekl internet	Sí	No	3	4	1	"8.	Comercio (al por mayor y menor)"	4	0	No
w6gSOwiaExBn	MP	MEDIANA	ENTEL	SI -> CONTINUAR	Entel	7	"PORQUE NUNCA HE PRESENTANDO NINGUN PROBLEMA HE ESTADO EN OTRAS COMPA;IAS Y LA COBERTURA ES DEFICIENTE SE CA E LA SE;AL LAS PLATAFORMAS PARA PODER ACCEDER A ALGUN TIPO DE CONSULTA DE PAGO ETCETERA ES MUY LENTA MUY ENGORROSA Y ENTEL NO"	7	7	7	7	7	7	7	9. NS/NR	No	Si	No	No	No	No	NA	7	NA	NA	NA	NA	NA	1.Ejecutivo asignado para su empresa	NA	NA	NA	NA	NA	5	7	NA	NA	7	No	NA	NA	NA	7	7	10	"6.	Servicios"	4	0	Sí
xAI5hwGWZ615	Mas	MICRO	ENTEL	SI -> CONTINUAR	Entel	6	porque es la mas estable de todas las otras que hay en el servicio y la calidad del servicio	6	6	6	9. NS/NR	4	3	4	9. NS/NR	Si	No	No	No	No	No	4	NA	NA	NA	NA	NA	3.Página Web  Empresas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	No	NA	NA	NA	6	7	9	"8.	Comercio (al por mayor y menor)"	1	0	No
vwU3I0GNjpor	MV	GGEE	ENTEL	SI -> CONTINUAR	Entel	7	PORQUE NOSOTROS TUVIMOS MOVISTAR Y OLVÍDESE DE PERDER UN TELÉFONO EN MOVISTAR TENÍAMOS PRÁCTICAMENTE QUE LLEVAR HASTA LA ESCRITURA PÚBLICA, EN MOVISTAR  TENÍAS QUE IR A DOS OFICINAS DISTINTAS Y COORDINAR CON TU EJECUTIVO PORQUE TIENEN EJECUTIVOS PARA TODO, TIENE EJECUTIVOS PARA QUE TE LLAMEN, EJECUTIVO, COMERCIAL, PASAR POR CUATRO CINCO EJECUTIVOS, PARA QUE EL PONGA UN AVISO Y TU DIGAS A QUÉ SUCURSAL VAS A IR A RETIRAR EL EQUIPO O EL CHIP ENTONTECES SE ACABÓ NO SEGUIMOS MÁS CON ELLOS, SOLAMENTE ENTEL, TU LLAMAS A ENTEL LO BLOQUEAS, DESPUÉS YO PASO A CUALQUIER SUCURSAL DE ENTEL Y RETIRO EL CHIP Y ME VOY Y LISTO SE ACABO. LA COBERTURA, NOSOTROS TENEMOS EN MUCHOS LUGARES QUE EN MOVISTAR TIENE MUY MALA SEÑAL, DE HECHO EN DONDE ESTA LA OFICINA EN ALAMEDA 322 LA SEÑAL ES MUY MUY MALA Y LA ÚNICA QUE FUNCIONA BIEN ES ENTEL, MOVISTAR ES UN ASCO TENÍAS QUE SALIR AL PATIO PARA PODER CONVERSAR, NO PODÍAS ESTAR EN DENTRO DE LA OFICINA CON MOVISTAR.	7	7	6	7	9. NS/NR	9. NS/NR	6	6	No	Si	Si	No	No	Si	NA	6	6	NA	NA	6	NA	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	NA	1.Ejecutivo asignado para su empresa	7	NA	NA	NA	NA	6	No	NA	NA	NA	7	7	8	"7.	Transporte"	4	0	Sí
B3g3SpXaeiqC	Mas	MICRO	ENTEL	SI -> CONTINUAR	Entel,Otros	7	porque nunca tengo problemas desde el momento que yo soy usuario nunca he tenido que llamar a soporte técnico es que desde e momento desde que tu no sabes el numero de soporte técnico es porque no tienes problemas y las cosas tienen que funcionar bien en cambio con vtr mal	7	6	7	7	7	7	7	7	Si	No	Si	No	No	Si	7	NA	7	NA	NA	6	2.Call center	NA	3.Página Web  Empresas	NA	NA	2.Call center	7	6	7	NA	7	7	No	NA	NA	NA	7	7	10	"7.	Transporte"	3	0	No
vkbfzkUvEEwp	Mas	MICRO	ENTEL	SI -> CONTINUAR	Entel	5	estan un poco caros los sercvicios, en movistar me ofrecieeron pagar menos por sus lineas	7	5	5	1	5	5	5	1	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	4	6	7	"6.	Servicios"	2	0	No
iW66cx6HkRRu	Mas	PEQUEÑA	ENTEL	SI -> CONTINUAR	Entel	7	hes estado siempre con ellos siem,pre tenmgo ciobertura donjde necesito,y el sistema es estabel y confiable.	7	6	6	7	6	7	6	4	No	No	No	Si	No	No	NA	NA	NA	7	NA	NA	NA	NA	NA	3.Página Web  Empresas	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	7	9	"6.	Servicios"	2	0	Sí
wgdpq1YUjBjn	Mas	PEQUEÑA	ENTEL	SI -> CONTINUAR	Entel	5	porque en algunas ocaciones he tratado de comunicarme la comunicacion es muy mala no tienen mucha te deja en espera te digita la llamada falta demasiada orientacion no me gusta	5	6	6	4	6	6	6	4	No	Si	No	No	No	No	NA	1	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	NA	NA	1	NA	NA	NA	99. NS/NR	Sí	la no comunicacion conmigo la poca disponibilidad que tiene para conmigo	Sí	No		1	0	"5.	Salud"	2	0	Sí
b6WZleHbECHr	Mas	PEQUEÑA	ENTEL	SI -> CONTINUAR	Entel	6	EL SERVICIO, POSVENTA Y EN GENERAL DE LAS LLAMADAS Y INTERNET	6	6	5	6	4	7	5	1	No	No	No	Si	No	No	NA	NA	NA	7	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	7	6	7	NA	7	No	NA	NA	NA	6	6	8	"2.	Tecnología"	10	0	Sí
4zJtKX9fJPk8	Mas	PEQUEÑA	ENTEL	SI -> CONTINUAR	Entel,Claro,Movistar,Otros	7	"PORQUE SIEMPRE ME HA SOLCIONADO TODO LO QUE YO HE QUERIDO QUE HA SIDO SÚPER POCO, PERO ME HAN SOLUCIONADO TODO RÁPIDO; REQUERIMIENTOS QUE HE TENIDO EN ALGÚN MOMENTO, CAMBIO DE EQUIPOS, CAMBIO DE PLANES, COSAS ASÍ."	7	7	7	7	7	7	7	4	No	No	No	Si	No	No	NA	NA	NA	7	NA	NA	NA	NA	NA	5.App Administradores Empresa <b>(NO la de personas), donde para acceder debe ingresar con su clave de Administrador</b>	NA	NA	NA	NA	7	NA	7	7	No	NA	NA	NA	7	7	10	"2.	Tecnología"	2	0	Sí
RsfqGcRqjzwb	MV	GGEE	ENTEL	SI -> CONTINUAR	Entel	7	NUNCA TENEMOS PROBLEMAS Y CUANDO HAY ALGO LO SOLUCIONAN RÁPIDO	7	7	7	7	7	7	7	9. NS/NR	Si	No	No	Si	No	No	7	NA	NA	7	NA	NA	1.Ejecutivo asignado para su empresa	NA	NA	1.Ejecutivo asignado para su empresa	NA	NA	NA	NA	7	NA	7	7	No	NA	NA	NA	7	7	10	"8.	Comercio (al por mayor y menor)"	1	0	Sí
uDTxu01Qh4A1	Mas	PEQUEÑA	ENTEL	SI -> CONTINUAR	Entel	7	PORQUE ME HA FUNCIONADO BIEN EL SERVICIO, CUANDO LLAMO ME DAN RESPUESTA INMEDIATA, NO HE TENIDO NINGUN PROBLEMA. QUE NO TENGO PROBLEMAS, NO HEMOS TENIDO PROBLEMAS COMO CON LA CONEXION, CUANDO HEMOS TENIDO ALGUNA DUDA, YO LLAMO, ME DAN RESPUESTA INMEDIATA, CON ESO NO HAY PROBLEMA. QUE DA UN BUEN SERVICIO EN GENERAL.	7	7	7	7	7	7	7	6	No	Si	Si	Si	No	No	NA	7	7	7	NA	NA	NA	3.Página Web  Empresas	3.Página Web  Empresas	1.Ejecutivo asignado para su empresa	NA	NA	7	7	7	NA	5	7	No	NA	NA	NA	7	7	10	"8.	Comercio (al por mayor y menor)"	9	99	No
fH4srGOP3Geg	Mas	PEQUEÑA	ENTEL	SI -> CONTINUAR	Entel	6	PORQUE LA SEÑAL NO ES MUY BUENA SE DEMORA MUCHO EN DESCARGAR LOS ARCHIVOS POR EJEMPLO, VIAJO MUCHO A LA SERENA Y LA SEÑAL DONDE VOY A ESTAR EN LA SERENA ES MALA	7	5	5	7	9. NS/NR	7	9. NS/NR	9. NS/NR	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	7	NA	7	Sí	TENER MALA SEÑAL DE INTERNET ES MALA	No	NA	7	5	8	"8.	Comercio (al por mayor y menor)"	20	0	9. NS/NR
3T8Jo7rH8tut	Mas	PEQUEÑA	ENTEL	SI -> CONTINUAR	Entel	7	"PORQUE NO TEMGO NINUN PROBLEMA DE COMUNICACION DE SE;AL CUANDO NECESITO ALGO LO HACE RAPIOD ES UN EXCELENTE SERVICIO LA VERDAD"	7	7	7	7	7	7	7	7	No	No	No	Si	No	Si	NA	NA	NA	7	NA	7	NA	NA	NA	2.Call center	NA	2.Call center	NA	7	7	NA	7	7	No	NA	NA	NA	7	7	10	"6.	Servicios"	4	0	No
kmp7hvB2dDIr	MasPrem	PEQUEÑA	ENTEL	SI -> CONTINUAR	Entel	7	PORQUE NUNCA HE TENIDO PROBLEMAS DE COMUNICACION INTERNET DAN BUENOS CREDITOS BUENOS BENEFICIOS	7	5	7	7	5	6	5	5	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	No	NA	NA	NA	7	1	5	"7.	Transporte"	3	0	No
S2jj4NArXMqh	AP	GGEE	ENTEL	SI -> CONTINUAR	Entel	7	porque cada vez que tengo problema con entel lo solucionan rapido, si tengo problema con la linea lo soluciona rapido pero con movistar ifgual tengo problema	7	7	6	7	7	7	6	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	6	No	NA	NA	NA	7	7	7	"8.	Comercio (al por mayor y menor)"	10	0	Sí
RTj8075UrgqU	Mas	PEQUEÑA	ENTEL	SI -> CONTINUAR	Entel,Movistar	6	PORQUE EN GENERAL EL SERVICIO SE PRESTA BIEN NO HEMOS TENIDO PROBLEMAS DE COBERTURA ESTA BIEN EN COBERTURA	6	7	6	3	4	4	5	3	Si	No	No	Si	No	No	1	NA	NA	5	NA	NA	2.Call center	NA	NA	2.Call center	NA	NA	NA	NA	NA	NA	NA	6	No	NA	NA	NA	7	6	7	"6.	Servicios"	2	6	9. NS/NR
HKtc0U24aI6a	Mas	PEQUEÑA	ENTEL	SI -> CONTINUAR	Entel,Otros	7	SIEMPRE TENGO SEÑAL, INTERNET MÓVIL	5	7	6	5	6	5	6	7	Si	No	No	Si	No	No	7	NA	NA	7	NA	NA	4.En tiendas/ sucursales	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	5	4	7	3	5	No	NA	NA	NA	6	6	6	"8.	Comercio (al por mayor y menor)"	1	0	No
WTiJRwTBhBh8	Mas	PEQUEÑA	ENTEL	SI -> CONTINUAR	Entel	6	me dan un  uen sevicio nuncabh etenido problemas de conectividad, los mas improtante es el servicio y que no hyan ´problemas los planes son accesibles y economicoos.	6	6	7	5	6	6	5	7	Si	Si	No	Si	No	Si	7	6	NA	6	NA	7	1.Ejecutivo asignado para su empresa	3.Página Web  Empresas	NA	1.Ejecutivo asignado para su empresa	NA	4.En tiendas/ sucursales	6	NA	5	NA	NA	6	No	NA	NA	NA	6	7	9	"6.	Servicios"	2	0	Sí
wTTUNNlfM9Zo	MV	MEDIANA	ENTEL	SI -> CONTINUAR	Entel	7	PORQUE NUNCA HE TENIDO NINGÚN PROBLEMA CON ELLOS NI DE COBERTURA, NI DE SEÑAL, NI DE SERVICIO	7	7	7	7	7	7	7	7	No	No	Si	No	No	No	NA	NA	7	NA	NA	NA	NA	NA	3.Página Web  Empresas	NA	NA	NA	NA	NA	7	NA	7	7	No	NA	NA	NA	7	7	10	"6.	Servicios"	5	11	Sí
YSQsfmdmWBcJ	MP	MEDIANA	ENTEL	SI -> CONTINUAR	Entel,Movistar,Otros	5	PORQUE LA SEÑAL DONDE YO TRABAJO ES MUY INESTABLE, HAY MOMENTOS EN QUE ESTA MUY BUENA Y HAY FECHAS EN QUE NO HAY NADA.	7	5	6	6	6	6	7	5	No	No	No	Si	No	Si	NA	NA	NA	7	NA	6	NA	NA	NA	2.Call center	NA	2.Call center	NA	NA	6	NA	NA	7	Sí	LA SEÑAL EN EL SECTOR BAJÓ MUCHO.	No	NA	6	6	8	"1.	Agro"	6	0	Sí
