encriptado	SEG_CORFO	SEG_GOL	Regionx	sex_enc	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	Rubro	Ciudad_comuna
Ao7W04GmUhnq	Micro	Mas	Regiones	Hombre	6	SON BUENOS SI SERVICIO BUENO RAPIDO Y BARATO	RESTAURANTE	ÑUBLE8REGION
reaMYlaeYq6L	Pequeña	Mas	Santiago	Hombre	7	PORQUE NO TENGO NINGUN PROBLEMA	ARQUITECTURA	VITACURA
UBRNz4eM1srv	GGEE	AP	Santiago	NA	7	TIENE BUEN SERVICIO BUENA CONEXION Y BUENA ATENCION AL CLIENTE	NA	NA
Bm8JhO1WSC08	Mediana	MP	Regiones	Hombre	5	CREO QUE LA ATENCION ES BUENA PERO FALTA MOTIVACION DE LA EMPRESA EN OFRECER COSAS PARA QUEDARSE EN LA EMPRESA	VENTA ARTICULOS ELECTRINICOS	PUERTO MONTT
FnBMRoSq1xzg	Mediana	MasPrem	ns/nr	NA	5	PORQUE SI PORQUE NO ME OFRECE NADA MAS NO LE OFRECE NADA MAS SIMPLEMTE HABLO NO NECESITA NADA MAS	NA	NA
qnVvzEn5b3fF	Mediana	AP	Santiago	Hombre	6	PORQUE NO TENEMOS MAYOR PROBLEMAS, SE SOLUCIONA RAPIDO, TENEMOS BUENA SEÑAL, NO SE NOS CAE LOS DATOS, CUANDO QUEREMOS CAMBIAR PLAN, NOS HAN RENOBADO LOS EQUIPOS TAMBIEN, ESTAMOS CONFORME	TRANSPORTE	SANTIAGO, ÑUÑOA
j7JFa44Zb1W1	Pequeña	MasPrem	ns/nr	Mujer	5	PORQUE TIENE MUY MALA COBERTURA POCOS Y NO TIENE OFERTAS ATRACTIVAS DEL SERVICIO ROAMING YO VIAJO MUY SEGUIDO EN LA PLAYA Y TIENE PESIMO INTERNET EN LA PLAYA PAPIDO ECONOMICAMENTE SON MUY CARAS	SEVICIOS MEDICOS	LAS CONDES
LGCC52H3HIM6	Micro	Mas	Regiones	Mujer	6	PORQUE HAY ALGUNOS INCONVENIENTES, SERÁ POR LA LOCALIDAD EN LA QUE UNO SE ENCUENTRA POR ESO PONGO NOTA 6	AGUA POTABLE	COMUNA DE LOS VILOS LOCALIDAD DE PICHIGANDI
kgfvHFLXrbYn	Mediana	MV	Regiones	NA	7	RAPIDO, EFICIENTES, TODO LO QUE NECESITO ME LO DAN, NO, NO HE TENIDO PROBLEMAS	NA	NA
2x2phcwHuGXd	GGEE	MV	Santiago	Hombre	5	LOS PRECIOS SON MUY CAROS	COMERCIO	RECOLETA
pP2CLWhUBFd0	Pequeña	MasPrem	Regiones	Hombre	4	el servicio NO ES COMO LO HABIAN OFRECIDO HAY MUCHO TIEMPO DE ESPERA NO HAY MAYORES OPOCIONES PARA LOS CLIENTES QUE LLEVAN AÑOS E3N CUANTO A BENEFICIOS ES MUY ESTRUCTURADO	FERRETERIA COMERCIAL	TEMUCO
qcURDggFJHWu	Pequeña	MP	Regiones	Hombre	7	PORQUE EN EL LUGAR QUE YO TRABAJO ES LA UNICA EMPRESA QUE FUNCIONA Y TIENE SEÑAL	MINERA	CALAMA
33qJtzDqPqCx	Micro	Mas	Regiones	Hombre	6	PORQUE ME HICERON UNOS COBROS INDEVIDOS HACE DOS SEMANAS  Y TUVE QUE IR A SANTIAGO Y ESO HACE BAJAR LA NOTA OTRO `PROBLEMA QUE TIENE ENTEL  YA NO LLEGA EL CONSUMO DE DETALLES Y LLEGA UNA BOLETA CHICA ME LLEGABA TODOS LOS MESES POR CORREO EL CONSUMO MENSUAL	AGRICULTURA DE PIÑA	OVALLE
CqjhXTw5kpLm	Micro	MP	Regiones	Hombre	7	LOS PRECIOS ASIGNADOS POR EMPRESA Y EL SERVICIO VA ACORDE A LO QUE PAGO SI PUEDO NAVEGAR SE PUEDE Y LLAMAR TAMBIÉN BUENA COBERTURA	SERVICIOS DE MANTENCION DE SISTEMAS DE SEGURIDAD INDUSTRIAL Y ELECTRONICA	VILLA ALEMANA
lpNODPmzpOOE	GGEE	AP	ns/nr	Mujer	7	PORQUE ES FACIL DE CONTARTASE CON ELLOS LOS REQUERIMIENTOS QUE UNO HACE LO HACEN RAPIDOS PORQUE UNOS LE LLAMA Y TE ATIENDEN ALTIRO ES RAPIDO	CONSTRUCCION	LAS CONDES
uj1PjztVi76c	Mediana	MasPrem	ns/nr	Mujer	6	PORQUE EL UNICO PROBLEMA QUE TENGO ES QUE EL SERVICIO EN EL EXTRANJERO ES MAS CARO EL ROAMING ES MAS CARO QUE EN LAS OTRAS COMPAÑIAS	EDITORIAL DE MUSICA	PROVIDENCIA
sAmikFAeL8Dx	Pequeña	Mas	Regiones	Mujer	7	PORQUE ES TAN POCO EL TIEMPO QUE LLEVA CON ELLOS, HASTA AHORA HAN CUMPLIDO TODO LO QUE HAN OFRECIDO.	CAPACITACION	RANCAGUA
fmqhv48EMuP3	GGEE	AV	Regiones	Mujer	5	PORQUE EN EL FONDO NUNCA NOS DIERON SOLUCION POR LA PORTABILIDAD PORQUE NO TENIAMOS COBERTURA EN EL LUGAR	AGRICOLA	LA SERENA
sHmERsf2KACt	Micro	MasPrem	Regiones	Mujer	5	PORQUE NO TIENE BUENA COBERTURA EN MUCHOS LUGARE SOBRE TODO EN EL CENTRO DE COQUIMBO  Y PARTE RURALES DE LA CUARTA REGION  PAL LADO DE RIO HURTADO RECOLETA	PRESTACIONES MEDICAS	COQUIMBO
7m18L91ojfmU	Micro	Mas	Santiago	Hombre	3	ES UNA EMPRESA SERIA ME PROPORCIONA LOS SERVICIOS QUE NECESIT NO HAY INTERFERENCIA Y LAS TARIFAS SON PARECIDAS A OTRAS CIAS	TRANSPORTE	ÑUÑO
ZiQuaeYAPkWi	Mediana	MV	Regiones	Hombre	6	ULTIMAMENTE HAN HABIDO  PROBLEMAS CON LA BANCHA ANCHA POCA COBERTURA  Y ESTUBO SUSPENDIDO	TRANSPORTE DE  CARGA Y PASAJEROS	DALCAHUE
63slwez95ODN	Pequeña	MP	Regiones	Hombre	6	PORQUE OFRECER MAS COSAS PARA LA EMPRESA BAJAR LOS PLANES EQUIPO PARA CAMBIAR	TRASPORTE DE PERSONAS	ANGOL
jjWInqRT2HCk	Mediana	MP	Santiago	Hombre	5	LO QUE PASA ES QUE ENTEL DE REPENTE FALLA EN LA COMUNICACION	ARRIENDO DE VEHICULOS	ESTACION CENTRAL
Audh0fA88vs7	Micro	Mas	Santiago	Mujer	5	PORQUE HAY MOMENTO QUE FUNCIONA BIEN Y OTROS S ECA ELA SEÑLA HAY QUE ESPERAR TODA LA TARDE PAREA QUE FUNCIONE NO HAY CASO	ASESORIAS SEGUROS VENTAS DE SEGUROS	STGO CENTRO
IgeTqeMLDmlg	GGEE	AV	Santiago	Mujer	5	LO QUE PASA DESDE QUE NOS CAMBIARON DE EJECUTIVA LA ATENCION HA SIDO PESIMA	VENTAS DE CECINAS	TALAGANTE
SX0a5nSozO2f	GGEE	AP	Regiones	Hombre	6	ME HAN ATENDIDO BIEN TENGO BUENA LEGADA CON LA EJECUTIVO Y TODO ES BIEN FLUIDO NO TENGO SEÑAL EN TODOS LADOS ESPECIFICAMENTE EN VILLARICA	CONSTRUCCION	TEMUCO
9nZLuq8PV26l	Micro	MasPrem	Santiago	NA	6	PORQUE HAY VECES QUE E HA CAIDO LA INTERNET POR LO GENERAL  BIEN	NA	NA
wgGfD2FRQwj9	GGEE	AP	Regiones	Mujer	7	PORQUE ES BUENA LA ATENCION RAPIDO EL SISTEMA NO ME PONENE PROBLEMAS SIMEPRE MSA DAN SULUCIONES QUE NECESIUTIO Y LA SCONSULTA SIEMPRE ME LAS RESPNDEN	SERVICIOS DE MANTENCION EN VENTILADOR EN MINAS	COPIAPO
G2yTHyEy29GU	Pequeña	MasPrem	Santiago	Mujer	6	PORQUE ES MUY BUENO EL SERVICIO A LOS CLIENTES PERO MEJORARIA LOS PRECIOS	ESTUDIO DE MERCADO	PROVIDENCIA
dyfV4ozR3uHd	Mediana	MP	Regiones	Hombre	6	PORQUE SE PIERDE LA SEÑAL DONDE ESTAMOS HAY SECTORES DONDE NO TENGO SEÑAL	AGRÍCOLA	6TA REGION
8m9m6ViPujD6	Micro	Mas	Santiago	Hombre	5	PORQUE HE TENIDO UNOS PROBLEMAS ULTIMAMENTE DE SEÑAL DONDE  ANTES NO LA TENIA	IMPRENTA	SANTIAGO
zqYkhAmomy3P	Mediana	AP	Regiones	Mujer	5	PORQUE ESTÁN MALAS LAS COMUNICACIONES, DE REPENTE NO TIENE SEÑAL, EN MI CASA	CONSTRUCCIÓN	LOS ÁNGELES
SjVqNtortmDy	Pequeña	MasPrem	Santiago	Hombre	5	ALGUNAS COSA SON MUY LENTOS DOCUMENTACION  PARA HACER CAMBIO DERREPENTE  MUY BUROCRATICO	SERVICIOS LEGALES	VITACURA
rCqY2Li5Sc0t	Micro	Mas	Santiago	NA	5	PORQUE LOS PRECIOS SON CAROS.LA TARIFA QUE ME SALE ES ALTA LOS GASTOS SON ALTOS	NA	NA
0GUlSuv4QqJe	Pequeña	Mas	Santiago	Mujer	6	PORQUE LO ENCUENTRO CARO EL PROGRAMA Y EL PLAN, 120MIL MIL PESOS, SON 3 MOBILES QUE ESTÁN INCLUIDOS, QUE NO TENGO CONTACTO CON UN EJECUTIVO QUE ME CONTACTE, NO TENGO EJECUTIVO Y SI LO TENGO NUNCA SE HA CONTACTADO CONMIGO	SERVICIOS MÉDICOS	ÑUÑOA
r8R4COzNjA6N	Pequeña	MasPrem	Regiones	Hombre	7	BUENO EL SERVICIO BUENA COBERTURA EL PRECIO DE MERCADO EN EL FONDO LO OTRO ES QUE CUANDO UNO NESECITA CAMBIAR EL EQUIPO LO ENCUENTRO QUE NO HAY RESTRICCION	OBRAS DE INGENIERIA	CURICO
IBvdjxtXmcJl	GGEE	AV	Regiones	NA	7	PORQUE ES EXCELENTE EN TODO SENTIDO	NA	NA
OF1J1OfOwjnV	Pequeña	MasPrem	Regiones	Mujer	6	EL SISTEM ADEL RAOAMIN PARA VIAJAR AL EXTRANGERO E SMUY CARO NO TIENE BUENO SPLANE S	CONSULTA MEDICA	VIÑA
EHmlyK3piksP	Micro	MasPrem	Regiones	NA	6	PORQUE CUANDO HACEN NUEVOS PLANES NUNCA ME INFORMAN	NA	NA
BEZZ1apazRUF	Pequeña	MV	Regiones	Mujer	7	PORQUE TENGO BUEN SERVICIO COMO TELEFONIA INTERNET SON BUENOS Y SIEMPRE QUE LLAMO A ENETEL POR LO ME RESUELVEN LOS REQUERIMIENTOS	SALUD	SSAN MIGUEL
TnSIpGl5mf2b	Micro	MasPrem	Regiones	Mujer	7	PORQUE TIENE CONTRATADO UN BUEN PLAN Y LA COBERTURA ES BUENA	INGENIERIA	LOS ANDES
XTC1Cc8Iaqix	GGEE	AP	Regiones	Hombre	7	PORQUE NO TENGO PROBLEMAS, NO SE ACAE LA SEÑAL TIENEN SEÑAL CONSTANTE TIENE UN VALOR PROMEDIO MERCADO LOS EQUIPOS SON BARATOS	DISTRIBUCIÓN	RANCAGUA
1xfGz9uJHXyl	Pequeña	MasPrem	Santiago	Hombre	7	PORQUE NO HE TENIDO NUNCA UN PROBLEMA CON ELLOS EL SERVICIO ES MUY BUENO EL CELULAR Y EL DE BANDA ANCHA	INGENIERIA Y CONTRUCCION	SANTIAGO CENTRO
8axJtpKzqEJh	Pequeña	MasPrem	ns/nr	Hombre	7	JAMAS HE TENIDO PROBLEMAS CUANDO HAN SIDO COSAS LEVES HE TENIDO SOLUCIONES RAPIDAS NUNCA HE TENIDO PROBLEMAS	COMERCIALIZACION	MACUL
XZvTwJpUT0VQ	Pequeña	MasPrem	Santiago	Hombre	3	PORQUE POR EJEMPLO YO ESTOY PAGANDO DEMAS EN EL PLAN QUE ESTOY PAGANDO PORQUE NO TIENE TIEMPO PARA CAMBIARME DE PLAN NO PUEDO PERDER UNA TARDE HE TENIDO PROBLEMAS PORQUE ME CAMBIAN LAS CONDICIONES DEL SERVICIO CONSTANTEMENTE LE AGREGAN MINUTOS ME BLOQUEAN ETC ESPECIFICAMENTE EN MI TELEFONO HACE LO QUE QUIERAN CON EL SE MARCA EL SERVICIO DE LLAMADA SE ENCIENDE LA LINTERNA ETC LO TENGO EN MI VELADOR Y PASA ESTO LA COBERTURA ESTA MUY INFERIOR SE CORTAN LAS LLAMADAS EN COLINA Y EN ÑUÑOA	RADIODIFUSION Y TELEVISION	COLINA
KMVhCQvaFBuS	GGEE	AP	Santiago	Hombre	6	A VECES QUISIERA RESPUESTAS MAS RAPIDA REFERENTE A LOS EJECUTIVOS	PROCESADORA DE ALIMENTOS	PUDAHUEL
f88EcSkGFHJa	GGEE	AP	ns/nr	Mujer	7	PORQUE EN LOS MOMENTOS A FUNCIONADO BIEN NO HE TENIDO PROBLEMAS DE COBERTURA	MAQUINARIA PARA ENVASADO	BUIN
CPJzIGUZuQ1k	GGEE	AV	Santiago	Hombre	7	PORQUE EL SERVICIO ES BUENO Y TIENE BUENA COBERTURA ,COSTOS QUE ME SALEN  POR PLANES	SEGURIDAD	SANTIAGO PROVIDENCIA
XxPA5elq2Xbm	Mediana	MP	Regiones	NA	6	PORQUE NO TENGO PROBLEMAS DE CORTE, INDEPENDIENTE DEL LUGAR  DONDE VAYA SIEMPRE TENGO COBERTURA,BUEN SERVICIO NO HE TENIDO PROBLEMAS	NA	NA
g2C2VvKWiJ2Q	Pequeña	MasPrem	Regiones	Hombre	5	POR QUE HAY CIERTOS SECTORES QUE NO TIENEN COBERTURA, PARTICULARMENTE PUCON.	SERVICIOS MEDICOS	PUERTO MONTT
13sNNHzuClVw	Mediana	MasPrem	Santiago	Hombre	7	PORQUE NUNCA HEMOS TENIDO PROBLEMAS CON LOS MOVILES HEMOS SALIDO DE VACACIONES Y SIEMPRE HAY COBERTURA	COMPRA VENTA ENERGIA ELECTRICA	PEDRO AGUIRRE CERDA
ZeXO5aa6olbn	Mediana	MV	Santiago	NA	5	PORQUE A PESAR QUE EL SERVICIO NO ES MALO TIENE VARIAS FALENCIAS LOS COBROS DE LA CUENTA MENSUAL SON DUDOSOS HAY QUE ESTAR CONSULTAS	NA	NA
6Lh7U9LLZDUH	Pequeña	Mas	Regiones	NA	6	POCAKIDAD DE COBERTURA CALIDAD DEL SERVICIO Y LOIS PRECIOS SON ALTOS	NA	NA
UlP2QIGuW2Yr	Pequeña	Mas	Regiones	Hombre	6	PORQUE NUNCA OFRECEN POSIBILIDAD DE BAJAR DE PRECIO, U OTROS SERVICIOS.	SERVICIOS MEDICOS	CONCEPCION
q80LCyFKOVPC	Micro	Mas	Regiones	Hombre	4	PORQUE TIENE DEFECTO DE COMUNICACIÓN SE CAE CON FRECUENCIA MIENTRAS UNO HABLA NO ES MUY BUENA LA COBERTURA QUE TIENE SON FRECUENTES BÁSICAMENTE EN TODAS PARTES EN DONDE VIVO MUCHO PEOR PERO EN GENERAL EN TODAS PARTES TIENE PROBLEMA NO AUMENTAN LAS CAPACIDADES TÉCNICAS DE LAS COMUNICACIONES DE ELLOS NO INVIERTEN EN UN MEJOR	CONSTRUCCIÓN	VALDIVIA
QtkeD8YxPE81	Micro	MasPrem	Regiones	Hombre	7	PORQUE NO HE TENIDO NUNCA NINGUN PROBLEMA PARA SOLICITAR SERVICIOS REPOSICION DE ELLOS SI HA HABIDO ALGUN PROBLEMA UNO PODRIA HABLAR TAMBIEN DE LAS TARIFAS NO LAS COMPARA PORQUE SOY UN CLIENTE ANTIGUO	MEDICINA	PUCON
6AXTL5Xte4TW	Mediana	AP	Regiones	Hombre	6	NO ES PARA EL 7 TODAVÍA EL TEMA DE ATENCIÓN DE LOS CLIENTES	SERVICIOS	PTO MONTT
y9pgncw8vlUp	Pequeña	MasPrem	Santiago	Hombre	6	GENERALMENTE TIENE BUEN ACCESO AL  CELULAR, LA BANDA ANCHA MOVIL FUNCIONA BIEN, SOLO QUE LA COBERTURA EN SU CASA A VECES FALLA EN ALGUNOS PUNTOS.	SERVICIO DE INGENIERIA.	PUDAHUEL
l8pIThEYBSi8	Pequeña	MasPrem	ns/nr	Mujer	6	NUNCA NOS PONEN AL DIA DE LOS PROGRAMAS CUANDO BAJAN LOS VALORES DE LOS PLANES Y NO NOS NFORMAN TODOS LOAS AÑOS LOS BAJAN	CONFECCIONES Y DISTRIBUCCION DE EPP	QUILUE
aTqk1m8Yy8tH	GGEE	AV	Regiones	Hombre	7	DA UN BUEN SERVICIO FACILIDAD DE DISPONER DE UN EJECUTIVO Y RÁPIDA SOLUCIÓN DE PROBLEMAS BUENA COBERTURA FACTURA AL DÍA	FERRETERIA	GRANEROS
hrOtxJgXABMp	Pequeña	MasPrem	Regiones	Hombre	6	PORQUE TENGO QUE IR A LA SUCURSAL PARA RESOLVER EL PROBLEMA	COMERCIALIZACION	TALCA
KdKaIHi0ttse	GGEE	AV	Santiago	Hombre	6	PORQUE EL SERVICIO FUNCIONA BIEN LA ATENCION AL CLIENTE ES BUENA Y LOS PRECIOS SON PRUDENTES	MANUFACTURA	SANTIAGO
6T5AGoxyxfUq	Micro	Mas	Regiones	Hombre	6	PORQUE ES BUENA NO PERFECTA	AUTOMORIZ REPARACION DE VEHICULOS	SANTIAGO MACUL
MZiOWB3F1wDb	Mediana	MV	Regiones	Mujer	7	PORQUE LA BOLETA ES BASTANTE CLARO, EL SERVICIO HA FUNCIONADO DE FORMA CORRECTA	EXTRACCIÓN DE AREOS	SANTO DOMINGO
M6TOooX15ky9	Pequeña	Mas	Regiones	Hombre	4	PORQUE EN DONDE VIVO HAY MUY MALA COBERTURA, VIVO EN ISLA DE MAIPO	TRANSPORTE	ISLA DE MAIPO
cOxKuwPXxGve	Mediana	MP	Santiago	Hombre	7	PORQUE NO TENGO PROBLEMAS DE CONEXION, TAMPOCO CON COBROS INDEBIDOS	TELECOMUNICACIONES	SANTIAGO CENTRO
fUXNVY34VnMZ	Pequeña	MP	Regiones	Mujer	5	PORQUE HE SOLICITADO CAMBIO DE EQUIPO Y NO SE HA CONCRETADO	INVESTIGACION Y ASESORIA MARINAS	VILLA ALEMANA
MAkw6P4osIWd	Pequeña	MasPrem	Santiago	Mujer	5	PORQUE DERREPENTE ME HA COSTADO CONTACTAR AL EJECUTIVO Y POR LO MISMO NO ME INFORMADO DE PRECIOS Y ESTAN UN POCO CAROS COMPARADO CON EL MERCADO	TRANSPORTE	SAN MIGUEL
Dn91WWOOzvVV	Mediana	MP	Santiago	NA	6	PORQUE A VECES SE CAE LA SEÑAL EN ALGUNO DEBAJO DE LOS PASOS A DESNIVEL O ENTRE PISOS SANTIADO PROVIDENCIA PUENTE ALTO DE VEZ EN CUANDO PUENTE ALTO PUENTE DESNIVEL TODOS LOS DIAS DURANTE EL DIA	NA	NA
HtSU2xQkHPkw	Pequeña	Mas	ns/nr	Hombre	6	POR PROBLEMAS CON EL EJECUTIVO EL LLAMO Y CUANDO LO QUISE CONTACTAR SE ME HA HECHO IMPOSIBLE QUE NO HE PODIDO COMUNICARME HE LLAMADO AL 106 SIN RESPUESTA	TRANSPORTE	QUILPUE
L7uzgbYiOi0m	Micro	MasPrem	Santiago	Hombre	6	PORQUE SERIA EXCELENTE Y DE REPENTE SE CAE LINEA,PROBLEMAS  CON CUENTAS	PUBLICIDAD	SANTIAGO
6dJrBs0EXpWg	Mediana	AP	Santiago	Hombre	7	NUNCA HEMOS TENIDO PROBLEMAS DE COMUNICACION ENTRE LOS MOVILES Y LAS CUENTAS SON SIEMPRE CLARAS	SERVICIOS ELECTRICOS	PUDAHUEL
Y01RZNfO0esO	Pequeña	MP	Santiago	Hombre	6	PORQUE TIENE BUENA COBERTURA EN TODO ASPECTO	CLIMATIZACION	CONCHALI
yKLyuVJau7hg	Pequeña	MasPrem	Santiago	NA	5	NO TIENE MUCHOS BENEFICIOS COMO EMPRESA DE ACUERDO A LA CANTIDAD QUE UNO PAGA SON POCOS LAS REBAJAS CUADO HACEN PROMOCIONES CUANDO SON CONTRATOS NUEVOS HACEN DESCUENTOS EN PRECIOS Y LOS GIGAS AUMENTAN AL FINAL ES POCA LA FDIFERENCIA DE ESTOS VALORES POR PROMOCIONES	NA	NA
3uurEiuhaT9e	Micro	AP	ns/nr	Hombre	6	HEMOS TENIDO UNAS DEMORAS EN LOS CONTRATOS QUE HEMOS TENIDO SE HA SOLICITADO UNOS CONTRATO Y EL EJECUTIVO SE HA DEMORO EN SU MOMENTO Y YA LO FIRMARON NO SE HA HECHO EL TRASPASO DEPENDE DEL EJECUTIVO	ASESORIA AGRICOLA	PUDAHUEL
rWfAgjwE8i0G	GGEE	AP	Santiago	Mujer	7	POR QUE ES UNA CUENTA MUY ANTIGUA TIENE MAS DE 10 AÑOS	IMPORTACIONES	SANTIAGO SANTIAGO
FPUWRuIqFlCv	Mediana	MV	Santiago	Hombre	7	RESPONDEN EN TIEMPO Y FORMA	PROCESAMIENTO DE DATOS	HUECHURABA
kteJ4nD5qQ2q	Pequeña	AP	Regiones	Hombre	5	PORQUE TIENE MUCHOS RECLAMOS POR DEVOLUCIONES DE LLAMADAS QUE LE DICE QUE NO CONTESTA SE DESVIA LA LLAMADA	CONSTRUCCION	CON CON VIÑA DEL MAR
TCfj5VGehRwL	GGEE	AV	ns/nr	Mujer	6	TENGO UN  BUEN SERVICIO EN GENERAL RESPONDEN BIEN MIS SOLICITUDES QUE LOS DESPACHO SON A TIEMPO LOS EJECUTIVOS PRESENTES	REVISIONES TECNICAS	PROVIDENCIA
pJfmoADFmoHV	Micro	Mas	Regiones	Mujer	1	PORQUE PRIMERO ME BLOQUEARON PORQUE MI HIJO TENIA ENTEL PERO ME LA ADJUDICARON A MI, YO NO TENIA NADA QUE VER	SUPERMERCADO	CAUQUENE
JUY9IXeGIhbS	Mediana	AV	Santiago	Hombre	6	SERVICIO DE POSTVENTA EFICIENTE RAPIDO Y OPORTUNO Y PERSONALIZADO	CORREDORES DE SEGUROS	PROVIDENCIA
Hp7wxYZJH7ZA	Pequeña	Mas	Santiago	Hombre	5	EL TIEMPO DE RESPUESTA DEL EJCUTIVO ES MUY BAJO	AGRICOLA	BIEN
8Xajsq5VvhB6	Pequeña	MV	Regiones	Hombre	5	ENCUENTRO QUE NO TIEN BUEN SERVCIO LAS REDES NOSE  ESCUCHA BIEN DERRPENT ENO TENGO COBERTURA SEÑAL LA CUESTION NO S EESCUCH ABIEN ES APERSON ANO ME ESCUCH ANO ME ESCUCHA YO ESCUCHO A VECE SQU EME LLAMAN CORTALA LLAMD SE ESCUCHA CORTADO	CONSTRUCCION	VALPARAISO
OGR7bI5ejSrj	Pequeña	MasPrem	Santiago	Hombre	7	PORQUE HE TENIDO ESTOS PRODUCTOS EN OTRAS COMPAÑIAS Y NO HE TENIDO SATISFACCIÓN EN CUANTO A SERVICIO A CLIENTE PERO CON ENTEL SI	SUBPRODUCTOS INDUSTRIALES	SAN JUAQUIN
XmqgcZOrq2c7	GGEE	AP	Santiago	Hombre	7	PORQUE SON POCAS LAS DIFICULTADES QUE PUDIERAMOS TENER LA ATENCION ES BUENA EL EJECUTIVO ESTA PENDIENTE OPORTUNO SI UNO LLAMA AL SERVICIO TE ENTREGAN INFORMACION OPORTUNA TE DAN SOLUCION RAPIDA NO TE DEJAN BOTADO SIEMPRE ESTAN ATENTOS YA SEA TELEFONO O POR MAIL	IMPORTACION Y DISTRIBUCION	QUILICURA SANTIAGO
JqAhStSNntKJ	Pequeña	MasPrem	Regiones	NA	5	PORQUE MUY CARO LOS APARATOS, SERVICIO	NA	NA
zmVhLqpPD4L1	GGEE	AP	ns/nr	Hombre	7	PORQUE ENTEL ME LLAMA DOS VECES AL MES PARA PREGUNTARME COMO ESTOY Y QUE NECESITO ESTOY MUY SATIFECHO CON LA COMPAÑIA ME HA RESUELTIO TODAS LOS REQUERIMIENTOS	CONSTRUCCION	CALAMA
NT6laitVzeGp	Mediana	MP	Santiago	Hombre	5	ES EL MAS CARO DEL MERCADO EQUIPOS TELEFONICOS Y PLANES	IMPRENTA	PEDRO AGUIRRE CERDA
2oEvAa2G3uyJ	Mediana	AP	Regiones	Hombre	7	NOSOTROS DONDE ESTAMOS ENTEL ES LA UNICA EMPRESA QUE TIENE UNA ANTENA, SOLO UN DIA SE LE CAYO LA ANTENA, LOS EJECUTIVOS Y ATENCION AL CLIENTE BIEN BUENA	AGRICOLA	RIO CLARO
lbpodMd908Ut	Micro	Mas	Regiones	Mujer	5	PORQUE CADA VEZ QUE LLAMO AL COLL CENTER PARA PEDIR FACTURA YA QUE NUNCA ENVIAN LA FACTURA Y ME PASAN DE UNA LADO A OTRO Y NUNCA RESPONDEN NUNCA ME ATIENDEN CUANDO NECESITO QWUE ME SOLUCIONAN LOS PROBLEMAS NUNCA SOLUCION	CORREO PRIVADO	LA SERENA
hDnTlrBHvJrX	GGEE	AV	ns/nr	Hombre	7	POR EL SERVICIO QUE OFRECE SI TENGO UN PROBLEMA LO RESUELVEN TENGO BUENA COBERTURA SI TENGO UN PROBLEMA CON UN PLAN SI QUIERO AUMENTARLO LO HACEN RAPIDO	IMPORTADORA DE ALIMENTOS	PROVIDENCIA
BFrzPjM7RoFr	Micro	Mas	Santiago	NA	5	POR LOS SERVICIOS QUE ESTAN BIEN SON BAATANTES BIEN LOS COSTOS LA BANDA ANCHA	NA	NA
4bcDPlM6vrZt	Micro	MasPrem	Regiones	Hombre	5	PORQUE TIENEN BUEN SERVICIO EN GENERAL EN CUANTO A LA SEÑAL QUE ES BUENA	TRASPORTE DE CARGA	ARICA
UBkc9gPdudq5	Pequeña	MP	Santiago	Hombre	7	PORQUE EL SERVICIO QUE ENTREGAN NO TIENE PROBLEMA	AREA DE SERVICIO	SAN JOAQUIN
Md00GGj4N62H	Mediana	MP	ns/nr	Mujer	6	PORQUE HAY UNOS PROBLEMAS CON EL EJECUTIVO DEBERIA SER MAS FLUIDO CON EL EJECUTIVO LOS TRAMITES DEC CAMBIO DE EQUIPO TE OBLIGAN A IR A LA OFICINA NO COMO ERA ANTES	CONSTRUCCION DE EMBARCACIONES	PUERTO MONTT
5Rx6F8fRZ9Cc	Mediana	MasPrem	Regiones	Hombre	4	PORQUE LA SEÑAL ES PESIMA, ESTAMOS A 10 KILOMETROS DE LOS ANGELES Y TENGO QUE SALIR FUERA DE LA OFICINA PARA HABLAR, EN LA ZONA EN GENERAL	AGRICOLA Y LACTEOS	LOS ANGELES
LjyWzRMjtZEu	Pequeña	MP	Regiones	Mujer	6	LO ENCUENTRO EXELENTE QUE LA NIÑAS DEL MALL SON LENTISIMAS PORQUE SE DEMORAN UN PAR DE HORA PARA QUE TE ATIENDAN Y EL CALL CENTER ES RAPIDO SON PROBLEMATICAS A MORIR AHORA ESTAMOS USADO PURO CALLCENTER	PESQUERA	ANTOFAGASTA
i2JJLaBLYZvh	Micro	Mas	Regiones	Hombre	6	PORQUE POR LO GENERAL A TENIDO BUENO RESULTADOS, HA TENIDO BUENOS CONTACTOS, NO HA HABIDO PROBLEMA.	COMERCIO	QUILLOTA
Z4z3Oq16Lhun	Micro	MasPrem	Regiones	Hombre	3	PORQUE COMO SE LLAMA NO FUNCIONANA BIEN NO TIENE BUEN SERVICIO NO HAY ATENCION AL CLIENTE COMO HABIA ANTES Y POR OTRO LADO NO HAY SEÑAL SERVICIO MOVIL DE INTERNET SIEMPRE	SERVICIOS DE ADMINISTRACION EN GENERAL.	LOS ANDES VREGION
jqyWCDsKEeL2	GGEE	AP	Santiago	NA	5	PORQUE TIENE MALA COBERTURA EN SU OFICINA.	NA	NA
