encriptado	SEG_CORFO_FINAL	CL_SEG_GOL_original	Regionx	sex_enc	ISO_FINAL_A	F1	P1	P2[{_1}].Rp	P2[{_2}].Rp	P2[{_3}].Rp	P2[{_1}].Rp._98	P2[{_2}].Rp._98	P2[{_3}].Rp._98	P3	P4	P4_COD	P5[{_a}].Rp	P5[{_b}].Rp	P5[{_c}].Rp	P5[{_d}].Rp	P5[{_e}].Rp	P6_aux	P6	P7[{_1}].Rp	P7[{_2}].Rp	P7[{_3}].Rp	P8	P9	P10[{_1}].Rp	P10[{_2}].Rp	P10[{_3}].Rp	P10[{_4}].Rp	P10[{_5}].Rp	P10[{_6}].Rp	P10[{_7}].Rp	P10[{_8}].Rp	P11[{_1}].Rp	P11[{_2}].Rp	P11[{_3}].Rp	P11[{_4}].Rp	P11[{_5}].Rp	P11[{_6}].Rp	P11[{_7}].Rp	P11[{_8}].Rp	P12[{_1}].Rp	P12[{_2}].Rp	P12[{_3}].Rp	P12[{_4}].Rp	P12[{_5}].Rp	P12[{_6}].Rp	P12[{_7}].Rp	P12[{_8}].Rp	P13[{_1}].Rp	P13[{_2}].Rp	P13[{_3}].Rp	P13[{_4}].Rp	P14	P15[{_1}].Rp	P15[{_2}].Rp	P15[{_3}].Rp	P15[{_4}].Rp	P16[{_1}].Rp	P16[{_2}].Rp	P16[{_3}].Rp	P16[{_4}].Rp	P17	P18	P19	P19_COD	P20	P21	P22	P23	P24	P25	P27	P28	P29	P30	P32
APMJcl1Df0SB	GGEE	AP	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,Telefónica/ Movistar	NA	Entel,Telefónica/ Movistar	NA	NA	NA	6	ES UNA BUENA NOTA, ES QUE ES UNA BUENA NOTA ENTONCES ESTA PERFECTO, EL 7 YA SERÍA COMO SUPERIOR A TODO Y ESO ES IMPOSIBLE, NO, NADA.	No es perfecto/ podría ser mejor	7	6	6	7	7	INTERNET BANDA ANCHA	6	6	6	6	6	7	Sí	Sí	No	Sí	Sí	No	Sí	No	6	6	NA	7	7	NA	6	NA	Ejecutivo asignado	Ejecutivo asignado	NA	Ejecutivo asignado	Ejecutivo asignado	NA	Ejecutivo asignado	NA	7	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	6	6	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	6	109	TRANSPORTE MARÍTIMO.	10 AÑOS.	SANTIAGO LAS CONDES.	ASUNTOS CORPORATIVOS.
rGNC735NAlQm	PEQUEÑA	MasPrem	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	1	PORQUE ACABO DE PEDIR UN CAMBIO DE PEDIR UN CAMBIO DE UBICACIÓN DE LOS TELÉFONOS Y ME DIJERON QUE NO HABÍA FACTIBILIDAD CUANDO TENGO TRES LOCALES CON ENTEL, ASÍ QUE LOS ELIMINÉ TODOS, PÉSIMO SERVICIO, ES QUE NO HAY FACILIDADES TÉCNICAS COMO DICEN ELLOS.	Mal servicio,No solucionan problemas	5	2	1	1	1	INTERNET BANDA ANCHA	5	5	5	5	2	5	Sí	No	Sí	No	No	No	Sí	No	2	NA	1	NA	NA	NA	4	NA	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	HA FALLADO EL SISTEMA, QUE FALLA LA CONEXIÓN POR FIBRA ÓPTICA, CORTE DE LA FIBRA ÓPTICA, TENEMOS BANDA ANCHA, PERO ESO ES SUFICIENTE PORQUE SI FALLA LA FIBRA ÓPTICA FALLA TODO.	Problemas técnicos/ fallas,Con la fibra óptica,Problemas con banda ancha	Sí	Si fue solucionado	5	1	Está Igual	2	12	DISTRIBUCIÓN Y VENTA DE MASCOTAS	3 AÑOS	LAS CONDES LA REINA	GERENTE
SNUFjLbQlQP8	MEDIANA	AP	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	POR LO VALORES ESPECÍFICAMENTE EN  LOS SERVICIOS EN TELEFONÍA FIJA, MAS QUE NADA POR ESO, SOMO CLIENTES ANTIGUOS Y NUNCA NOS HAN HECHO UN BENEFICIO NO NOS HAN DADO, PORQUE SON ELLOS EN LOS AÑOS.	Es caro/ planes caros	7	7	7	7	5	INTERNET BANDA ANCHA	6	5	5	5	4	6	Sí	Sí	No	Sí	No	No	No	No	6	6	NA	7	NA	NA	NA	NA	Ejecutivo asignado	Ejecutivo asignado	NA	Ejecutivo asignado	NA	NA	NA	NA	5	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	5	6	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	8	60	PRESTACIÓN DE SERVICIOS	6 AÑOS APROXIMADAMENTE	CURICO	ENCARGADA DE CONTABILIDAD
kzyOW2SiH1hT	MEDIANA	AP	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7	"PORQUE ESTOY MUY SATISFECHO; ES LA MEJOR."	Buena compañía/ la mejor	7	7	7	7	7	INTERNET BANDA ANCHA	7	6	7	7	7	7	Sí	No	Sí	No	No	Sí	No	No	7	NA	7	NA	NA	6	NA	NA	Ejecutivo asignado	NA	Ejecutivo asignado	NA	NA	A través de la web con clave Mi Entel Empresas	NA	NA	7	NA	7	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	7	7	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	10	35	COSMETICOS	7-8 AÑOS	NIÑOA	PROYECT MANAGER
yn14cuavrKLG	MEDIANA	MV	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	NA	7	BUEN SERVICIO, LA SEÑAL ES BUENA, NO HEMOS TENIDO INTERRUPCIONES, ASÍ QUE ESTAMOS SATISFECHOS Y FUNCIONA DONDE TIENE QUE FUNCIONAR, EN QUE NOSOTROS CONTRATAMOS DIRECTAMENTE CON LA GENTE EL SERVICIO DE EMPRESA, ENTEL EN GENERAL NOS FUNCIONA MUY BIEN A TRAVÉS DEL TELÉFONO Y A TRAVÉS DE INTERNET, PERO TAMBIÉN EL SERVICIO DIRECTO CON LA GENTE DE EMPRESAS ES BUENO, PORQUE POR LO MENOS AHÍ ENCONTRAMOS TODA LA INFORMACIÓN QUE NECESITAMOS, RESPUESTAS CONCRETAS Y RÁPIDAS, SI ES QUE NO LO PODEMOS LOGRAR POR INTERNET, INDEPENDIENTE QUE TENGAMOS QUE MOVILIZARNOS PARA IR A UNA OFICINA, AUN ASÍ LA ATENCIÓN HA SIDO BASTANTE BUENA, NO HEMOS TENIDO INTERRUPCIONES DE NINGÚN TIPO DURANTE EL TIEMPO QUE LO HEMOS TENIDO A ELLOS, ES CONTINUO.	Buenos servicios,Buena cobertura,Servicio estable/ no se cae,No ha tenido problemas/ conforme/ todo bien,Buena información/ clara,Buena atención/ amables	7	6	6	7	NS/NR	INTERNET BANDA ANCHA	7	7	7	7	6	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Equipo de ejecutivos llamado Círculo de Atención Preferente  que es el *106 desde móvil y <br/>6003600106 desde red fija que atiende sus requerimientos de post-venta	Sí	NA	Sí	NA	6	NA	6	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	6	Está Igual	8	5	INSPECCIONES TÉCNICA DE BUQUES	12	VIÑA DEL MAR	ASISTENTE ADMINISTRATIVA
FKyHnhK7lWGT	MEDIANA	MP	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,VTR	NA	Entel	NA	NA	NA	5	PORQUE HE TENIDO INCONVENIENTES CON ENTEL, EN CUANTO A LA CUENTA, EN CUANTO A BANDA ANCHA QUE SE HA CAÍDO Y SE HAN DEMORADO EN RESTITUIRLA.	Cobros poco claros,Se cae el servicio/ se corta/ intermitente,Demora en soluciones	6	5	5	6	NS/NR	INTERNET BANDA ANCHA	5	4	4	3	4	4	No	No	No	No	No	Sí	Sí	No	NA	NA	NA	NA	NA	5	3	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas,En tienda/ sucursales	A través del Call center, empresa línea 600, línea 800	NA	NA	2	4	1	No tiene Ejecutivo <b>(NO LEER)</b>	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	BANDA ANCHA, CORTARON LA BANDA ANCHA Y VINIERON, DEMORARON COMO DOS DÍAS EN VENIR A REPARAR.	Problemas con banda ancha,Con el servicio técnico/ no responde en los plazos	Sí	Si fue solucionado	1	1	Está Igual	1	18	FERRETERIA INDUSTRIAL	4 AÑOS, MAS OMENOS	SANTIAGO INDEPENDENCIA	DUEÑO
Xs3RMaFaO0lK	GGEE	AP	REGIONES	Mujer	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7	PORQUE NO HEMOS TENIDO NINGÚN TIPO DE PROBLEMA HASTA EL MOMENTO EN LA BANDA ANCHA Y TELÉFONOS FIJOS	No ha tenido problemas/ conforme/ todo bien,Buen servicio de internet/ rápido/ estable,Buen servicio de telefonía	7	7	7	7	7	INTERNET BANDA ANCHA	7	7	7	7	7	7	No	Sí	Sí	Sí	Sí	Sí	No	No	NA	7	7	7	7	7	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	7	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	No	NA	NA	NA	NA	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	10	62	SERVICIOS SUBMARINES	5 AÑOS	MEJILLONES	ENCARGADA DE RECURSOS HUMANOS
yoK57PRhONTk	GGEE	AV	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS)"	Entel	Entel	NA	NA	NA	NA	5	POR EL TIEMPO DE RESPUESTA QUE TIENEN ELLOS, NORMALMENTE UNO SE COMUNICA ATREVES DE UN TELÉFONO QUE ES COMO UNA MESA DE AYUDA QUE NORMALMENTE RESPONDEN RÁPIDO PERO DESPUÉS PARA QUE TE DEVUELVAN LA LLAMADA O TE CONTACTEN CON EL ESPECIALISTA EL QUE VE EL PROBLEMA EN ESPECIFICO SE DEMORAN BASTANTE.	No tiene contacto con los clientes/ difícil contactarse con la cia.,Demora en soluciones	6	5	5	5	4	MPLS	5	5	5	5	5	5	Sí	Sí	Sí	Sí	Sí	Sí	Sí	Sí	4	5	5	5	5	5	5	5	A través de la web con clave Mi Entel Empresas	A través de la web con clave Mi Entel Empresas	A través de la web con clave Mi Entel Empresas	A través de la web con clave Mi Entel Empresas	A través de la web con clave Mi Entel Empresas	A través de la web con clave Mi Entel Empresas	A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas	A través de la web con clave Mi Entel Empresas	NA	4	5	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	Sí	NA	NA	NA	5	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	Sí	ALGUNAS FALLAS QUE NO FUNCIONA EL MPLS SE CAE.	Problemas técnicos/ fallas,Problemas con el modem/ router,Caída del sistema/ servicio	Sí	Si fue solucionado	5	5	Está Igual	7	150	ELÉCTRICA	6 AÑOS	ÑUÑOA SANTIAGO	COORDINADOR DE COMUNICACIONES Y DISEÑO
3F9q1UVV04y6	MEDIANA	MV	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	POR LAS CARACTERÍSTICAS DEL PRODUCTO, HEMOS AUMENTADO VARIAS VECES LA VELOCIDAD DEL INTERNET Y SEGUIMOS TENIENDO ALGUNOS INCONVENIENTES.	Mal servicio internet	7	6	6	7	6	INTERNET BANDA ANCHA	5	6	6	6	6	6	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	No	NA	NA	NA	NA	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	6	Está Igual	8	22	AGENCIA DE TURISMO	6 AÑOS MÁS O MENOS	VITACURA	GERENTE DE ADMINISTRACIÓN Y FINANZA
ajO9DgadQUX6	PEQUEÑA	MasPrem	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	PORQUE SIEMPRE HAY PROBLEMAS EN TODAS LAS COMPAÑÍAS DE QUE SE CAE EL INTERNET O NO HAY MUCHA RED, Y LO MISMO CON EL FIJO.	Mal servicio internet/ se cae/ lento/ falla,Mala señal	7	7	1	7	NS/NR	INTERNET BANDA ANCHA	5	5	5	5	5	6	No	No	No	No	Sí	No	Sí	Sí	NA	NA	NA	NA	5	NA	5	5	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	"CAÍDA DE LÍNEA; TELÉFONO NO HEMOS TENIDO TONO."	Cobertura para hacer y recibir llamadas/ se cortan las llamadas/ caída de líneas	Sí	Si fue solucionado	6	5	Está Igual	5	6	ADMINISTRACIÓN DE VIENES RAICES	DEBE SER DOS AÑOS	IQUIQUE	GERENTE COMERCIAL
CF2YRaT7RO27	MICRO	Mas	SANTIAGO	Hombre	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	NO SON MUY EFECTIVOS LOS SERVICIOS Y LA ATENCIÓN CUANDO UNO LLAMA POR TELÉFONO PARA QUE VENGAN A REVISAR ALGO NO SON MUY ÁGILES. NO SON MUY ÁGILES EN RESOLVER. EN LA RESPUESTA, EL TIEMPO DE RESPUESTA.	Servicio lento,Demora en soluciones	6	6	5	6	NS/NR	INTERNET BANDA ANCHA	6	7	NS/NR	5	6	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	5	Está Igual	5	4	INGENIERÍA.	MÁS DE CINCO AÑOS	LAS CONDES.	DUEÑO GERENTE
68UDdq6EQcy7	MEDIANA	AV	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7	"HE PROBADO LAS OTRAS COMPAÑÍAS Y EN REALIDAD LA QUE MEJOR ME HA DADO SERVICIO ES ÉSTA, DENTRO DE LO QUE HAY, CREO QUE ES LO MEJOR; PODRÍA HABER MEJOR RED, PERO NO HAY, POR ESO DIGO, DENTRO DE LO QUE HAY, ES LO MEJOR."	Buena compañía/ la mejor,Buen servicio/ eficiente	7	6	6	6	6	INTERNET BANDA ANCHA	5	6	6	6	6	7	Sí	Sí	No	No	No	Sí	Sí	Sí	5	6	NA	NA	NA	6	6	5	Ejecutivo asignado	Ejecutivo asignado	NA	NA	NA	A través de la web con clave Mi Entel Empresas	Ejecutivo asignado	Ejecutivo asignado	5	NA	6	NA	Ejecutivo de Atención que atiende sus requerimientos Post-Venta	NA	No	NA	NA	NA	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	10	50	INFORMÁTICA	MÁS DE 25AÑOS	PROVIDENCIA CON SALVADOR	GERENTE GENERAL
20yUnSGLECA8	MEDIANA	AP	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	NA	6	CUESTA MUCHO COMUNICARSE CON LOS EJECUTIVOS, A COMUNICARSE, HABLAR CON ELLOS POR TELÉFONO	No tiene contacto con los clientes/ difícil contactarse con la cia.	6	6	6	6	NS/NR	MPLS	7	7	7	7	6	7	Sí	Sí	Sí	Sí	Sí	No	Sí	No	7	7	7	7	7	NA	6	NA	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	NA	7	7	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	Sí	NA	NA	NA	7	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	8	100	SADLUD	8 AÑOS	SANTIAGO	GERENTE GENERAL
GZbouhYX2Hp6	MEDIANA	MP	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,VTR	NA	Entel,VTR	NA	NA	NA	6	PORQUE NO ES UN 7, EL SERVICIO AL MENO EL TIEMPO DE REPUESTA HA SIDO EL MÁS OPTIMO CUANDO HEMOS TENIDO PROBLEMA, AHORA PORQUE UN 6  PORQUE LOS PROBLEMAS HA SIDO MUY MÍNIMOS AL LADO DE OTRAS COMPAÑÍAS.	Soluciones rápidas,Buena compañía/ la mejor	7	7	6	7	NS/NR	INTERNET BANDA ANCHA	6	7	7	7	6	7	No	No	No	No	No	No	Sí	No	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	6	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	No	NA	NA	NA	NA	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	10	45	PANADERÍA	12	SANTIAGO	ADMINISTRATIVO
C0zE25o2ygJA	PEQUEÑA	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,Telefónica/ Movistar	NA	Entel,Telefónica/ Movistar	NA	NA	NA	5	PORQUE ANTES TENÍA UN 6 O UN 7, ANTES DE QUE ENTEL VENDIERA LA PARTE COMERCIAL A OTRAS EMPRESAS, COMO DOS AÑOS ATRÁS VENDIERON LA PARTE DE ADMINISTRACIÓN DE LA PARTE COMERCIAL, ANTES FUNCIONABA MUCHO MEJOR ENTEL DE LO QUE ES AHORA, ES PARA UN 5 NADA MÁS, ANTES ERA UN 6 O UN 7. ES QUE NO HAY UNA RELACIÓN DIRECTA CON LA EMPRESA, NO HAY, ANTES HABÍA MUCHA MÁS COMUNICACIÓN DE ENTEL DIRECTO AL CLIENTE. ANTES ERA MÁS FÁCIL SABER LOS PRODUCTOS QUE OFRECÍAN Y ME LOS OFRECÍAN, HOY DÍA NUNCA ME OFRECEN NI UNA COSA.	No tiene contacto con los clientes/ difícil contactarse con la cia.	6	5	5	5	5	INTERNET BANDA ANCHA	5	5	5	5	4	4	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	5	Está Igual	6	3	ÓPTICA.	20 AÑOS.	SANTIAGO PROVIDENCIA, SANTIAGO METROPOLITANA.	GERENTE
VAj1Y59yx1PP	PEQUEÑA	Mas	SANTIAGO	Mujer	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	LAMENTABLEMENTE, CON ESTA EMPRESA NOSOTROS TENEMOS EL SISTEMA MÁXIMO DE INTERNET, PERO LA COSA NO ES TAN ASÍ, DOS O TRES VECES AL DÍA ESO SE CAE Y QUEDA LENTO, LENTO, LENTO. ESE ES MÁS QUE NADA EL PROBLEMA, PERO ES POR RATOS, ES SOLO POR RATOS, EN LA MAÑANA. EN LA MAÑANA, SE PONE MUY LENTO Y DESPUÉS EN LA TARDE TIPO 4, TAMBIÉN. ES UNA FUNCIA, PORQUE UNO ESTÁ HACIENDO COMO CORREOS DE REPENTE Y SE QUEDA PEGADO.	Mal servicio internet/ se cae/ lento/ falla,Se cae el servicio/ se corta/ intermitente	6	6	6	6	6	INTERNET BANDA ANCHA	5	7	7	7	6	5	No	No	No	No	No	Sí	Sí	No	NA	NA	NA	NA	NA	6	7	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	6	Está Igual	8	4	INVERSIONES, NEGOCIOS.	1 AÑO.	PROVIDENCIA.	SECRETARIA.
x8qh5v8cQmVe	MEDIANA	AV	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Telefónica del Sur	Entel	Telefónica/ Movistar	NA	NA	NA	6	POR BUEN SERVICIO PERO ESTA SEMANA DE REPENTE FALTA EN ALGUNA FECHA. BUEN SERVICIO EN CONECTIVIDAD	Buenos servicios,Se cae el servicio/ se corta/ intermitente	7	7	6	6	7	MPLS	6	7	7	7	6	7	No	No	No	Sí	Sí	Sí	No	No	NA	NA	NA	7	7	7	NA	NA	NA	NA	NA	Ejecutivo asignado	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	NA	7	7	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	No	Sí	NA	NA	NA	7	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Ha mejorado	8	105	SERVICIOS	7 AÑOS	COLINA	CONTADOR
387fRF39lj02	GGEE	AV	SANTIAGO	Hombre	Sí	Sí	"b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	NA	Entel	Entel	NA	NA	NA	6	PORQUE ANDA BASTANTE BIEN ES DECIR EN TODO EL SENTIDO EN LA ATENCIÓN, EN EL SISTEMA, LAS VELOCIDADES, EN SERVICIO, EN TODO.	Funciona bien,Buena atención/ amables,Buen servicio de internet/ rápido/ estable,Buenos servicios	7	7	6	6	NS/NR	MPLS	7	7	7	7	6	7	Sí	Sí	No	Sí	Sí	No	Sí	No	7	7	NA	6	7	NA	7	NA	Ejecutivo asignado	Ejecutivo asignado	NA	Ejecutivo asignado	Ejecutivo asignado	NA	Ejecutivo asignado	NA	7	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	7	7	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	9	100	TELECOMUNICACIONES	120	SANTIAGO, CONCHELI	JEFE DE INFORMÁTICA
x4fQZgYeFzOg	GGEE	AP	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	NA	6	"PORQUE SIEMPRE HAY DETALLES QUE NO LLEGAN A LA SATISFACCIÓN TOTAL; PROBLEMAS CON LA FACTURACIÓN, QUE LLEGA."	No es perfecto/ podría ser mejor,Problemas de facturación	6	6	6	6	6	MPLS	6	6	6	6	7	4	No	No	No	No	No	Sí	Sí	No	NA	NA	NA	NA	NA	6	7	NA	NA	NA	NA	NA	NA	A través de la web con clave Mi Entel Empresas	A través del Call center, empresa línea 600, línea 800	NA	NA	6	6	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	7	7	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	8	102	FABRICA, INDUSTRIA.	ANTIGUA, MUCHOS AÑOS, UNOS 20AÑOS	IQUIQUE	GERENTE FINANZAS
YRjMz7I1o0F9	GGEE	AV	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	4	"PORQUE TENGO PROBLEMAS CON LOS COBROS; LOS VALORES QUE VIENEN EN LA FACTURA NO CUADRAN CON MI CONTRATO NI CON EL DETALLE QUE VIENE EN LA FACTURA; ES DECIR, LO QUE PASA ES QUE LA FACTURA DICE QUE ME VAN A COBRAR 200 MIL PESOS Y MI CONTRATO DICE UNA COSA Y, SI YO SUMO LOS DETALLES QUE ME ESTÁN COBRANDO, NO CUADRAN CON LOS 200 MIL PESOS, ENTONCES, HAY COBROS NO REFLEJADOS EN LA BOLETA, PERO, SÍ EN EL VALOR TOTAL."	Problemas de facturación,No cumplen lo ofrecido/no respetan valores/ engañan,Cobros poco claros	7	5	6	7	7	INTERNET BANDA ANCHA	7	6	6	6	4	1	No	No	No	Sí	Sí	Sí	Sí	Sí	NA	NA	NA	1	1	1	7	1	NA	NA	NA	Ejecutivo asignado	Ejecutivo asignado,A través de la web con clave Mi Entel Empresas	Ejecutivo asignado,A través de la web con clave Mi Entel Empresas	Ejecutivo asignado	Ejecutivo asignado,A través de la web con clave Mi Entel Empresas	4	NA	1	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	No	Sí	NA	NA	NA	6	NA	NA	No cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	5	150	EXPORTADORA DE FRUTAS	VARIOS AÑOS, NO ME ACUERDO. PROBABLEMENTE 4 AÑOS, NO ME ACUERDO. UNOS 4 AÑOS PODRÍA PONERLE.	SANTIAGO	SECRETARIA
c92cDdV4Y8uy	PEQUEÑA	Mas	SANTIAGO	Hombre	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	PORQUE ME CUMPLE CON MIS EXPECTATIVAS, BUENO QUE CUMPLE CON LO QUE YO NECESITO.	Cumple las necesidades de la empresa	6	7	7	6	NS/NR	INTERNET BANDA ANCHA	7	7	7	7	6	5	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7	Está Igual	7	10	REVESTIMIENTOS, COBRATIVOS	UN AÑO Y MEDIO.	SANTIAGO LAS CONDES	DUEÑO
