...1	ola - Ola Medicion	F1 - FiltroF1.  ¿Es usted la persona que administra la cuenta que su empresa tiene con el/los operadores de productos o servicios fijos?	"P2__1 - a.	Internet Banda Ancha :"	"P2__2 - b.	Red privada de datos/Transmisión de datos (MPLS) :"	"P2__3 - c.	Telefonía Fija :"	"P3 - Ahora hablaremos de su relación con Entel 
    3.	Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?"	"P4 - 4.	¿Por qué evalúa con esa nota? Sondear y profundizar"	"P5__A - a)	Entel es una empresa con buena imagen en general :"	"P6 - 6.	Pensando en el funcionamiento del servicio… {#P6_aux}, ¿con qué nota de 1 a 7,evalúa el Funcionamiento de este servicio en general?"	"P7__1 - a)	Precio de los servicios en relación al mercado (Competitividad) :"	P7__2 - b) Competitividad de planes en cuanto a Internet banda ancha :	"P8 - 8.	Y en lo que respecta a Servicio a Clientes, en escala de 1 a 7 ¿cuán satisfecho está usted con ENTEL?"	P9__1 - Contratación de nuevos servicios : RU cada una	P9__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RU cada una	P9__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RU cada una	P9__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RU cada una	P9__5 - Reclamos por fallas técnicas de los servicios fijos : RU cada una	P10__1 - Contratación de nuevos servicios : RU cada una	P10__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RU cada una	P10__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RU cada una	P10__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RU cada una	P10__5 - Reclamos por fallas técnicas de los servicios fijos : RU cada una	P11__1 - Contratación de nuevos servicios : RM cada una	P11__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RM cada una	P11__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RM cada una	P11__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RM cada una	P11__5 - Reclamos por fallas técnicas de los servicios fijos : RM cada una	"P11_1__1 - a)	La facilidad para reportar el reclamo a Entel : RU cada una"	"P11_1__2 - b)	la Rapidez de respuesta a su reclamo por parte de Entel : RU cada una"	P12__1 - Ejecutivo asignado :	P12__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P12__3 - Call Center Empresa :	P12__4 - Página Web Empresa :	P12__5 - Tiendas/ Sucursales :	P13__1 - Ejecutivo asignado :	P13__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P13__3 - Call Center Empresa :	P13__4 - Página Web Empresa :	P13__5 - Tiendas/ Sucursales :	"P14 - FACTURACIÓN 
       14.	En cuanto a la Facturación de todos los servicios fijos que tiene con ENTEL, en una escala de 1 a 7 ¿Cómo evalúa …? 
        
       El Proceso de Facturación en general"	"P15 - MODULO INCIDENCIAS 
         15. En los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por ENTEL?"	P16 - 16. ¿Qué problema ha tenido? Sondear	"P17 - LEALTAD 
         17. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿Qué tan dispuesto estaría usted a continuar con Entel?"	P18 - 18. Pensando en este periodo de crisis Covid-19 ¿Cuan satisfecho está con ENTEL como proveedor de servicios de telecomunicaciones? Escala de 1 a 7, 99= No sabe/no responde	P19 - 19. ¿Aceptaría que Entel conozca sus respuestas y lo contactara para entender en profundidad sus requerimientos/necesidades?	SEG_CORFO	"P22 - 22.	¿Cuál es el rubro de su empresa?"	"P24 - 24.	¿Ciudad o Comuna de Ubicación de su Empresa?"	"P27 - 27.	Sexo  (No preguntar):"	"P28 - 28.	REGION (no preguntar):"	EMPTY LABEL - No Information Provided...52	EMPTY LABEL - No Information Provided...53	EMPTY LABEL - No Information Provided...54	EMPTY LABEL - No Information Provided...55
5RgR047Zu9I4	MEDICION SEPTIEMBRE 2020	Sí	NA	Entel	Entel,Telefónica/ Movistar	6	CON LO DE LA PANDEMIA Y EN GENERAL LAS RESPUESTAS SON UN POCO LENTAS, PLANTEAMOS PORTARNOS A ENTEL Y NO HEMOS TENIDO RESPUESTA.	6	6	6	6	5	No	Sí	No	No	No	NA	2	NA	NA	NA	NA	Ejecutivo asignado	NA	NA	NA	NA	NA	No	NA	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	6	Sí	GGEE	MANUFACTURERA	CERRILOS	Mujer	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
AufOruvafmpl	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	NO HE TENIDO PROBLEMAS HASTA EL MOMENTO NI CON FACTUIRA NO CORTES DEL SERVICIO NI MALA SEÑAL	7. En absoluto acuerdo	6	6	6	7	Sí	Sí	Sí	No	No	7	7	6	NA	NA	A través del Call Center empresa	A través del Call Center empresa	A través del Call Center empresa	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	7	Sí	PEQUEÑA	ALIMENTOS	SANTIAGO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
npmDejLGssM4	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	PORQUE NO TENGO PROBLEMAS	7. En absoluto acuerdo	5	7	4	7	No	No	No	No	Sí	NA	NA	NA	NA	7	NA	NA	NA	NA	A través del Call Center empresa	7	7	No	No	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	7	Sí	PEQUEÑA	CONFECCION TEXTIL	INDEPENDENCIA	Mujer	SANTIAGO	MV	Mediana	MEDIANAS	Stock Fijo
cYrxkSDKmXU3	MEDICION SEPTIEMBRE 2020	Sí	NA	Entel	Entel	6	PORQUE ES MUY BUENA PERO SIEMPRE TIENE SUS DETALLE RESPONDEN A LAS CONSULTA REQURIMIENTOS PERO SIEMPRE SE DEMORAN	7. En absoluto acuerdo	6	6	6	5	Sí	Sí	No	No	Sí	7	6	NA	NA	5	A través de la web con clave	Ejecutivo asignado	NA	NA	Ejecutivo asignado,A través del Call Center empresa	5	5	Sí	NA	Sí	Sí	No	7	NA	5	6	NA	6	Sí	PROBLEMA CON LA FIBRA OPTICA LO QUE PASA ESQUE TENEMOS DOS SUCURSALES Y ENTONCES NO PODIAMOS COMINICARNOS Y SE DEMORARON BASTANTE BASTANTE NO ENCONTRABAN EN PROBLEMA ES RED PRIAVADA DE DATOS TUVIMOS PROBLEMAS CON LAS DOS COSAS TELEFONO FIJO	6	6	Sí	GGEE	FABRICA DE MAQUINAS	RECOLETA	Mujer	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
3Z7hGlO75VAi	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	"PORQUE LO ENCUENTRO BUENO, PERO NO PERFECTO, SE PUEDE MEJORAR UN POCO; EN GENERAL LOS ENCUENTRO UN POCO INACCESIBLES, TODO TIENE QUE SER A TRAVÉS DE LA PAGINA WEB Y NO SIEMPRE UNO ENCUENTRA FACILMENTE LO QUE BUSCA. EN GENERAL LA CONECTIVIDAD ES BUENA."	7. En absoluto acuerdo	7. Muy satisfecho	NS/NR	5	6	Sí	No	No	No	No	7	NA	NA	NA	NA	A través del Call Center empresa,A través de la web con clave	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	NA	6	NA	7	No	NA	7	7	Sí	PEQUEÑA	ARQUITECTOS	PROVIDENCIA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
o50Gh0c6KSvm	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	PORQUE TIENEN BUENA SEÑAL, BUENOS TELÉFONOS, BUEN SERVICIO EN POST-VENTA, SIEMPRE QUE REQUIERO ME ATIENDE AL TIRO, LLEVAMOS AÑOS Y NUNCA HEMOS TENIDO PROBLEMAS CON ELLOS.	7. En absoluto acuerdo	6	7	7	7	No	Sí	No	No	No	NA	7	NA	NA	NA	NA	Ejecutivo asignado	NA	NA	NA	NA	NA	Sí	NA	No	No	No	7	NA	NA	NA	NA	7	No	NA	7	7	Sí	GGEE	AGRÍCOLA	REQUINUA	Hombre	REGIONES	AV	GGEE	GRANDES CUENTAS	Stock Fijo
4X0DVgZv9g62	MEDICION SEPTIEMBRE 2020	Sí	Claro/ Telmex,Entel	NA	Claro/ Telmex	6	PORQUE DENTRO DE LOS SERVICIOS ES BUENO Y ESTABLE EN INTERNET BANDA ANCHA. LOS TIEMPOS DE RESPUESTAS SON ACEPTABLES PARA LOS REQUERIMIENTOS.	7. En absoluto acuerdo	6	6	6	6	No	Sí	No	No	No	NA	6	NA	NA	NA	NA	Ejecutivo asignado	NA	NA	NA	NA	NA	Sí	Sí	No	Sí	No	7	7	NA	5	NA	9. NS/NR	No	NA	6	6	Sí	GGEE	COMERCIALIZADORA DE COSMÉTICOS	PROVIDENCIA	Hombre	SANTIAGO	MV	Mediana	MEDIANAS	Stock Fijo
fkb6Ss0tijZ0	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	PORQUE NO HEMOS TENDIDO NINGÚN PROBLEMA EN CUANTO A COMUNICACIÓN O CAÍDA DE LA SEÑAL	7. En absoluto acuerdo	7. Muy satisfecho	7	7	5	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	Sí	No	NA	NA	NA	6	NA	7	No	NA	7	7	Sí	MEDIANA	REPARACIONES ELÉCTRICAS	CORONEL	Mujer	REGIONES	MP	Mediana	MEDIANAS	Stock Fijo
cSdWcEnZBeRx	MEDICION SEPTIEMBRE 2020	Sí	Entel	Entel	Entel,Telefónica/ Movistar	7. Muy satisfecho	PORQUE NUNCA HE TENIDO PROBLEMA, ME HAN SOLUCIONADO LOS PROBLEMAS QUE HE TENIDO, NO HE TENIDO CORTE DE CIRCUITO, CUANDO HE TENIDO QUE CAMBIAR SIEMPRE HE TENIDO RESPUESTAS RAPIDA	7. En absoluto acuerdo	7. Muy satisfecho	7	7	6	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	Sí	NA	NA	NA	NA	7	6	No	NA	7	7	Sí	MICRO	INVERSIONES	SANTIAGO, PROVIDENCIA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
e3ZaLgN5ozDJ	MEDICION SEPTIEMBRE 2020	Sí	Entel,Telefónica del Sur	Entel	Entel,Telefónica del Sur	6	PORQUE QUIERO EVALUARLO CON UN 6 NO MAS, NO MENTIRA, A VECES SE CAE A VECES FALLA LA COMUNICACION NO SIEMPRE, NO HAY INTERNET	7. En absoluto acuerdo	7. Muy satisfecho	5	5	7	No	Sí	Sí	Sí	No	NA	7	7	7	NA	NA	A través del Call Center empresa	En tienda/ sucursales	A través de la web con clave	NA	NA	NA	No	No	Sí	Sí	Sí	NA	NA	7	7	7	7	No	NA	6	5	Sí	PEQUEÑA	INGENIERIA	SAN PEDRO DE LA PAZ	Hombre	REGIONES	MV	Mediana	MEDIANAS	Stock Fijo
epLnWbHhERc8	MEDICION SEPTIEMBRE 2020	Sí	Entel,Telefónica/ Movistar	Entel,Telefónica/ Movistar	Entel,Telefónica/ Movistar	7. Muy satisfecho	porque no he tenido problema todos los requerimiento han sido solucionados.	7. En absoluto acuerdo	6	6	6	6	Sí	Sí	Sí	Sí	No	6	6	6	6	NA	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	NA	NA	NA	Sí	NA	No	Sí	No	6	NA	NA	6	NA	6	Sí	me llagaba señal de una antena, tengo una antena que se conexta con otra, de intalacion y esa antena no estaba recibiendo señal y unos tecnicos tuvieron que sincronizaron.	6	6	Sí	GGEE	SERVICIO DE TRANSPORTE YRECUPERACION DE RESIDUOS METALURGICON	CONCEPCION	Hombre	REGIONES	AV	GGEE	GRANDES CUENTAS	Stock Fijo
mUSM5ZjD3IJe	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	4	PORQUE SON COMPLICADOS SOBRE TODO LA FACTURACION, SON ENREDADOS USTEDES, SI SE ATRASA UN DIA SE LO CORTAN, SI TE TOCA PAGAR EL 15 Y NO PUEDES PAGAR Y PAGAS EL 16 DEBES PAGAR DOS MESES, Y SI LLAMAS TE ATIENDEN PESIMO, SOLO ESO.	4	6	6	6	2	Sí	No	Sí	Sí	Sí	4	NA	4	4	4	A través del Call Center empresa,A través de la web con clave	NA	A través del Call Center empresa	A través del Call Center empresa,A través de la web con clave	A través del Call Center empresa	4	4	No	No	No	No	No	NA	NA	NA	NA	NA	4	No	NA	5	6	Sí	PEQUEÑA	NOTARIA SERVICIO	CONCEPCION	Hombre	REGIONES	MV	Mediana	MEDIANAS	Stock Fijo
SLzOrJIWkACh	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	4	NO ESTA CONTENTO CON EL SERVICIO, RESPUESTAS LENTAS.	5	5	5	5	5	No	No	No	No	Sí	NA	NA	NA	NA	4	NA	NA	NA	NA	Ejecutivo asignado	5	5	Sí	NA	No	No	No	6	NA	NA	NA	NA	5	Sí	PAGOS DE LAS CUENTAS, NO HAN SIDO DE BAJA EN EL SISTEMA DE COBRANZA Y LE VUELVEN A COBRAR LO MISMO, PAGO TIENE QUE SER PRESENCIAL Y ESO GENERA PROBLEMA	5	5	Sí	GGEE	CENTRO MEDICO	SAN FERNANDO	Hombre	REGIONES	AV	GGEE	GRANDES CUENTAS	Stock Fijo
eUiDRu2FG8Oh	MEDICION SEPTIEMBRE 2020	Sí	Entel	Claro/ Telmex,Entel	Entel	6	PORQUE PODRÍA SER MEJOR SIEMPRE SE PUEDE MEJORAR TARIFAS Y COBERTURAS	7. En absoluto acuerdo	7. Muy satisfecho	6	6	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	NA	Sí	Sí	Sí	7	NA	7	7	7	7	No	NA	7	7	Sí	GGEE	TRANSPORTE DE CARGA POR CARRETERA	FILICURA SANTIAGO	Hombre	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
lNdmnZ2q1SDD	MEDICION SEPTIEMBRE 2020	Sí	Entel,GTD/ Manquehue	GTD/ Manquehue	Telefónica/ Movistar	6	SIEMPRE ALGUNA FALLA DEL RESTO ES BUENO	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	No	No	No	Sí	No	NA	NA	NA	7	NA	NA	NA	NA	Ejecutivo asignado	NA	NA	NA	No	NA	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	7	Sí	GGEE	ETIQUETAS	METROPOLITANO	Hombre	SANTIAGO	AP	GGEE	EMPRESAS	Stock Fijo
BUur1pjpMF8z	MEDICION SEPTIEMBRE 2020	Sí	Entel	Entel	Entel	6	PORQUE ES BUENO EL SERVICIO DE RECONEXION CUANDO HAY ALGUN PROBLEMA A VELOCIDAD A OPERATIVIDAD Y A CONFIABILIDAD	7. En absoluto acuerdo	7. Muy satisfecho	6	6	7	Sí	No	Sí	Sí	Sí	7	NA	7	7	5	Ejecutivo asignado	NA	Ejecutivo asignado	A través de la web con clave	A través del Call Center empresa	5	5	Sí	NA	Sí	Sí	No	7	NA	7	7	NA	7	No	NA	7	7	Sí	GGEE	AUTOMOTRIZ	ANTOFAGASTA	Hombre	REGIONES	AV	GGEE	GRANDES CUENTAS	Stock Fijo
WzoDrBSh7qMM	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	PORQUE EN GENERAL NO TENGO INCOVENIENTE CON ELLOS	6	6	5	5	NS/NR	No	Sí	No	No	No	NA	6	NA	NA	NA	NA	A través del Call Center empresa	NA	NA	NA	NA	NA	NA	NA	Sí	No	No	NA	NA	6	NA	NA	7	No	NA	6	NS/NR	Sí	MEDIANA	IMPORTACINES	SANTIAGO CENTRO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
zCX8lHZ2RcgE	MEDICION SEPTIEMBRE 2020	Sí	Entel,GTD/ Manquehue,Telefónica/ Movistar	GTD/ Manquehue	Entel,Otra ¿Cuál?	7. Muy satisfecho	Buen servicio	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	7	Sí	GGEE	Servicio de materiales eléctricos	santiago centro y concepcion	Hombre	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
w6fRLzImsDqB	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Telefónica/ Movistar	6	funciona bien pero a veces falla, se cae la red.	7. En absoluto acuerdo	6	NS/NR	NS/NR	5	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NA	6	No	NA	5	6	Sí	PEQUEÑA	corredor de propiedades	santiago	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
vQ7QVKo0xnG1	MEDICION SEPTIEMBRE 2020	Sí	Entel,Telefónica/ Movistar	NA	NA	7. Muy satisfecho	porque desde que contrate el servicio funciona bien, no hemos tenido problema. la velocidad funciona bien. nada mas que agregar.	5	7. Muy satisfecho	7	6	NS/NR	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	7	Sí	MEDIANA	articulos agricolas y de manufactura	puente alto	Hombre	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
1kFGsXLye0xb	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	PORQUE YA NO TENGO PROBLEMAS DE BAJAS, ES PAREJO LA LÍNEA CON LAS GIGAS, NO HABLO DE LA LÍNEA TELEFÓNICA, PORQUE SIEMPRE HE TRABAJADO CON ELLOS, ESTUVE TRABAJANDO CON MOVISTAR Y TUVE MUCHOS PROBLEMAS.	7. En absoluto acuerdo	7. Muy satisfecho	NS/NR	7	7	No	No	Sí	Sí	No	NA	NA	7	7	NA	NA	NA	A través de la web con clave	A través del Call Center empresa	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NA	7	No	NA	6	7	Sí	PEQUEÑA	PANADERÍA, PASTELERÍA Y MARKET	VIÑA DEL MAR	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
TVaXf1hyrgDT	MEDICION SEPTIEMBRE 2020	Sí	Claro/ Telmex,Entel	Claro/ Telmex,Entel,GTD/ Manquehue,Telefónica/ Movistar	GTD/ Manquehue,Telefónica/ Movistar	6	ORQUE ES UNA BUENA NOTA PARA UN SERVICIO QUE OFRECEN, EL COSTO ES MAYOR A LAS OTRAS EMPRESAS	7. En absoluto acuerdo	6	5	5	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	6	Sí	GGEE	CONSTRUCCION	LAS CONDES	Hombre	SANTIAGO	AV	GGEE	GRANDES CLIENTES	Stock Fijo
m9pTRQVCFeoC	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	PORQUE ACA DONDE ESTAMOS NOSOTROS SE NOS CORTA MUCHO EL INTERNET HAY MUCHAS INTERMITENCIAS EN EL INTERNET Y SE NOS VA LA GENTE NO PUEDE TRABAJAR ES UNA EMPRESA AGRICOLA COMO ESTAMOS EN EL CAMPO ES MAS DIFICIL LA SEÑAL SE VA MUY SEGUIDA	7. En absoluto acuerdo	6	7	7	6	No	Sí	Sí	No	No	NA	6	6	NA	NA	NA	En tienda/ sucursales	Ejecutivo asignado	NA	NA	NA	NA	Sí	No	No	Sí	No	7	NA	NA	7	NA	7	No	NA	5	6	Sí	MEDIANA	AGRICOLA	OVALLE COMUNA MONTEPATRIA	Mujer	REGIONES	MV	Mediana	MEDIANAS	Stock Fijo
J3yRTffIcbhX	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	POR QUE EL SIETE ES PERF4ECTO	6	6	6	6	6	No	Sí	Sí	No	Sí	NA	6	6	NA	6	NA	Ejecutivo asignado	Ejecutivo asignado	NA	Ejecutivo asignado	6	5	Sí	NA	Sí	Sí	No	6	NA	5	4	NA	6	Sí	LOS MG SE OCPARO LOLS PRIMEROS DIAS DEL MES}	7	6	Sí	GGEE	VENTAS AL POR MAYOR	VITACURA	Mujer	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
rkZxWzsBB4g5	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	no hemos tenido mayores problemas y al momento de hacer requerimientos son rapidos en las respuestas. Los ejecutivos siempre estan disponibles.	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	Sí	Sí	No	No	No	7	7	NA	NA	NA	Ejecutivo asignado	Ejecutivo asignado	NA	NA	NA	NA	NA	Sí	NA	Sí	Sí	No	7	NA	7	7	NA	7	No	NA	7	7	Sí	GGEE	INVERSIONES Y SERVICIOS	VITACURA	Hombre	SANTIAGO	AV	GGEE	GRANDES CLIENTES	Stock Fijo
R2QNh92GDq3x	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy satisfecho	"PORQUE NUNCA FALLA, INTERNET NO HE TENIDO PORBLEMAS CON LA RED Y UNA VEZ QUE FALLÓ ME REEMBOLSARON LA FALLA LOS DÍAS QUE FALLÓ Y TIENE MUY BUEN SERVICIO AL CLIENTE AHORA DIGAMOS, EN LA CUARENTENA ESTUVO MUY MALO PORQUE ESTABA TODO MUNDO EN TELETRABAJO ENTONCES SI UNO TENÍA UN PROBLEMA NO HABÍA CON QUIEN COMUNICARSE; PERO ADEMÁS ESTA LA PAGINA Y ES BASTANTE ÁGIL Y AMIGABLE PARA PAGAR, LA VERDAD ES QUE ES BASTANTE BUENA LA ATENCIÓN."	7. En absoluto acuerdo	7. Muy satisfecho	5	5	7	No	Sí	Sí	Sí	No	NA	7	7	7	NA	NA	A través del Call Center empresa	A través del Call Center empresa	A través del Call Center empresa	NA	NA	NA	NA	NA	Sí	No	No	NA	NA	7	NA	NA	7	No	NA	7	7	Sí	PEQUEÑA	SERVICIOS DE CONSTRUCCIÓN	LAS CONDES	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
9wixJYSRU5Rw	MEDICION SEPTIEMBRE 2020	Sí	Entel,GTD/ Manquehue	Entel,GTD/ Manquehue	Entel	6	EL SERVICIO ES BASTANTE ESTABLE, SIEMPRE ESTÁ ARRIBA, NO TENEMOS MAYOR PROBLEMA DE CAÍDA DE SERVICIOS Y NO PRESENTA PRESENTA PROBLEMA LAS LLAMADAS TAMPOCO, ASI QUE NO TENGO PROBLEMAS NI RECLAMOS POR ESTE LADO, PERO EL ÚNICO CONVENIENTE, MÁS QUE UN INCONVENIENTE, UN PUNTO NEGRO, EL SERVICIO POST VENTA ES UN POCO LENTO PARA DAR SOLUCIONES DE RESPUESTA, LO HE NECESITADO COMO DOS VECES Y NO ESTÁ CLARO NI FLUIDO EL PROCESO DE LA RESPUESTA DE LO QUE ES.	6	6	6	6	5	No	No	Sí	Sí	No	NA	NA	6	6	NA	NA	NA	Ejecutivo asignado	Ejecutivo asignado	NA	NA	NA	Sí	NA	Sí	No	No	6	NA	6	NA	NA	6	No	NA	6	6	Sí	GGEE	GRÁFICO, IMPRENTA	SANTIAGO	Hombre	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
im2cMx84mnUA	MEDICION SEPTIEMBRE 2020	Sí	Entel	Telefónica del Sur	Telefónica del Sur	6	DERREPENTE ESTA UN POCO SATURADA Y SE DEMORA MAS EN DESCARGAR LAS PAGINAS, ARCHIVOS O SUBIR INFORMACION AL SISTEMA.	6	6	5	6	7	No	No	No	No	Sí	NA	NA	NA	NA	6	NA	NA	NA	NA	Ejecutivo asignado	6	6	Sí	NA	No	Sí	No	7	NA	NA	4	NA	4	No	NA	6	7	Sí	GGEE	NAVIERA Y SERVICIOS PORTUARIOS.	NATALES	Mujer	REGIONES	AP	GGEE	EMPRESAS	Stock Fijo
MxKfK9TSJKBf	MEDICION SEPTIEMBRE 2020	Sí	Entel,Telefónica/ Movistar,VTR	NA	Entel,Telefónica/ Movistar	5	PORQUE SE DEMORAN DEMASIADO EN RESPONDER LAS SOLICITUDES EN QUE NECESITÁBAMOS AMPLIAR UNOS TRACK EN ANTOFAGASTA, ENTONCES, ESO SE SOLICITÓ HACE BASTANTE TIEMPO ATRÁS Y, RECIÉN HOY DÍA, LO CONTACTARON. EN LOS SERVICIOS FIJOS, ES POR LA DEMORA QUE ESTO PUEDE OCASIONAR EN LA ATENCIÓN DE LA SOLICITUD.	6	5	6	5	5	Sí	Sí	Sí	No	Sí	5	6	7	NA	5	A través del Call Center empresa	Ejecutivo asignado	Ejecutivo asignado	NA	A través del Call Center empresa	6	5	Sí	NA	Sí	No	No	5	NA	6	NA	NA	7	Sí	CAÍDA DE LÍNEA, CAÍDA DE LA SEÑAL, CORTE DE LA SEÑAL EN LA FIBRA EN ANTOFAGASTA. BUENO, SI SE CAE LA FIBRA SE CAE EL TELÉFONO FIJO QUE ES LO MISMO. ESE ES EL PRINCIPAL, NOS DEJAN SIN INTERNET Y SIN TELEFONÍA.	5	5	Sí	GGEE	IMPORTADORA Y EXPORTADORA	IQUIQUE	Mujer	REGIONES	AP	GGEE	EMPRESAS	Stock Fijo
uNSGs30M9fKx	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	PORQUE LA VERDAD NO HE TENIDO PROBLEMA CASI NUNCA POR LOS AÑOS QUE LO TENGO LO ENCUENTRO UNA BUENA COMPAÑIA. LOS AÑOS QUE TENGO NUNCA HE TENIDO PROBLEMA ENCUENTRO QUE ME SATISFACE	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	7	Sí	PEQUEÑA	CONSTRUCCION	SANTIAGO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
omDHXSjwWloH	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	PORQUE EL SERVICIO QUE PRESTAN ES BUENO PERO EL POST VENTA CAE, CUANDO OFRECEN UN PRODUCTO ESTÁ BIEN, PERO CUNDO HACEN LA INSTALACIÓN O NECESITO UN SOPORTE, NO SIEMPRE CUANTO CON EL SOPORTE INMEDIATO DE ENTEL	7. En absoluto acuerdo	6	5	7	6	No	No	No	No	Sí	NA	NA	NA	NA	5	NA	NA	NA	NA	A través del Call Center empresa	7	5	Sí	No	Sí	No	No	7	NA	5	NA	NA	7	No	NA	7	7	Sí	MEDIANA	EDUCACION	CUIDAD SANTIAGO	Hombre	REGIONES	MP	Mediana	MEDIANAS	Stock Fijo
