encriptado	SEG_CORFO_FINAL	CL_SEG_GOL_original	Regionx	sex_enc	ISO_FINAL_A	F1	P1	P2[{_1}].Rp	P2[{_2}].Rp	P2[{_3}].Rp	P2[{_1}].Rp._98	P2[{_2}].Rp._98	P2[{_3}].Rp._98	P3	P4	P4_COD	P5[{_a}].Rp	P5[{_b}].Rp	P5[{_c}].Rp	P5[{_d}].Rp	P5[{_e}].Rp	P6_aux	P6	P7[{_1}].Rp	P7[{_2}].Rp	P7[{_3}].Rp	P8	P9	P10[{_1}].Rp	P10[{_2}].Rp	P10[{_3}].Rp	P10[{_4}].Rp	P10[{_5}].Rp	P10[{_6}].Rp	P10[{_7}].Rp	P10[{_8}].Rp	P11[{_1}].Rp	P11[{_2}].Rp	P11[{_3}].Rp	P11[{_4}].Rp	P11[{_5}].Rp	P11[{_6}].Rp	P11[{_7}].Rp	P11[{_8}].Rp	P12[{_1}].Rp	P12[{_2}].Rp	P12[{_3}].Rp	P12[{_4}].Rp	P12[{_5}].Rp	P12[{_6}].Rp	P12[{_7}].Rp	P12[{_8}].Rp	P13[{_1}].Rp	P13[{_2}].Rp	P13[{_3}].Rp	P13[{_4}].Rp	P14	P15[{_1}].Rp	P15[{_2}].Rp	P15[{_3}].Rp	P15[{_4}].Rp	P16[{_1}].Rp	P16[{_2}].Rp	P16[{_3}].Rp	P16[{_4}].Rp	P17	P18Aa[{_1}].Rp	P18Aa[{_2}].Rp	P18Aa[{_3}].Rp	P18B[{_1}].Rp	P18B[{_2}].Rp	P18B[{_3}].Rp	P18	P19	P19_COD	P20	P21	P22	P23	P24	P25	P27	P28	P29	P30	P32	Fecha Enc
hFRHhb5OI3Eg	MICRO	Mas	REGIONES	Mujer	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	NO NECESARIAMENTE ES TAN EFECTIVA, ES QUE DE REPENTE HAY PROBLEMAS QUE SE CAE LA LÍNEA, INTERNET, QUEDAMOS SIN INTERNET.	Mal servicio internet/ se cae/ lento/ falla	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	5	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	No	NA	6	NA	No	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	RANCAGUA	NA	V2. POST CRISIS
VbhoDi4chyWn	MICRO	AP	REGIONES	Hombre	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,VTR	NA	Entel	NA	NA	NA	7. Muy satisfecho	POR QUE NO TENGO NINGÚN PROBLEMA CON ELLOS NO TENGO NADA DE QUEJARME POR QUE ME ENCANTA EN TODO LO AMO, NO NADA MAS.	No ha tenido problemas/ conforme/ todo bien	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	7	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	QUIYOTA REGION	NA	V2. POST CRISIS
9LmbQ0fQmQFj	MICRO	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	PORQUE ME HAN ENTREGADO LO QUE YO HE NESECITADO, LOS PRODUCTOS QUE YO PEDI QUE HE SOLICITADO.	Buen servicio/ eficiente	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	6	6	6	5	6	Sí	No	NA	Sí	Sí	Sí	No	No	6	NA	NA	6	6	6	NA	NA	En tienda/ sucursales	NA	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	7	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	6	Ha mejorado	6	3	PUBLICIDAD	1 AÑO	SANTIAGO	DUEÑO	V1. PRE CRISIS
S4n0fnulZXCS	MICRO	Mas	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	PORQUE EL TEMA DE SEÑAL ES MÁS QUE NADA EN EL CELULAR, EL INTERNET TAMBIÉN SE CAE MUCHO DE LA EMPRESA, NO TIENE MUY BUENAS OFERTAS COMO MOVISTAR PERO ME GUSTA IGUAL PORQUE EN EL TRABAJO ES LO ÚNICO QUE LLEGA	Mal servicio internet/ se cae/ lento/ falla,Problemas de conectividad/ conexión/ comunicación	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	7	6	6	6	7	Sí	Sí	NA	No	No	Sí	Sí	Sí	6	6	NA	NA	NA	6	5	5	En tienda/ sucursales	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	A través de la web con clave Mi Entel Empresas	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	5	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	EN ENTEL O SEA EN LA SEÑAL DEL INTERNET, MALA SEÑAL EN CIERTOS HORARIOS EN EL INTERNET	Mala señal/ problemas de señal	Sí	No fue solucionado	NA	7. Muy dispuesto	Está Igual	7	4	PANADERÍA	1 AÑOS	ANTOFAGASTA	DUEÑA	V1. PRE CRISIS
nedw5axBc4Ro	MICRO	Mas	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7. Muy satisfecho	PORQUE NUNCA HE TENIDO NI UN PROBLEMA DE CONECTIVIDAD DE TODO NO TENGO PROBLEMA LA VERDAD ES QUE NUNCA LLEVAMOS MUCHOS AÑOS NOSOTROS, MAS DE DIEZ MAS DE QUINCE, ES BUENA ATENCIÓN IGUAL,ES BUENA LA ATENCIÓN DE CLIENTES SI UNO VA COMO CLIENTE PREFERENCIAL.	Buen servicio de internet/ rápido/ estable,Buena atención/ amables	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	7	7	7	7	7	No	No	NA	No	Sí	No	No	No	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Ha mejorado	10. Muy probable	3	IMPRENTA	3 AÑOS	SANTIGO CENTRO	JEFE DE VENTAS	V1. PRE CRISIS
mYYXLjwy27wE	MICRO	Mas	SANTIAGO	Hombre	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7. Muy satisfecho	NO HAY DESCONECTIVIDAD NI NADA, FUNCIONAN BIEN, NO HAY DESCONECTIVIDAD Y FUNCIONAN BIEN EN EL MOMENTO PRECISO CUANDO LO NECESITO, EN CUANTO A TELEFONÍA FIJA Y TAMBIÉN EN BANDA ANCHA.	Funciona bien	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	7	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	NA	NA	7	No	NA	NA	NA	NA	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	SANTIAGO, PROVIDENCIA.	NA	V2. POST CRISIS
KANmbjfFvH8N	PYME	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	PORQUE ME GUSTA, PORQUE EL PROFESOR DE QUÍMICA NO ME PONÍA NUNCA MAS QUE UN 5, EL 6 ES PARA EL PROFESOR DE QUÍMICA Y EL 7 ES PARA DIOS ME DECÍA,NO TENGO PROBLEMA, NO HAY PROBLEMA, QUE LE PUEDO RESALTAR QUE LA CAMPANILLA SUENA BIEN, QUE ME FUNCIONA, QUE PASA, QUE NO TENGO PROBLEMAS LE DIGO.	No ha tenido problemas/ conforme/ todo bien,Funciona bien	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	5	5	4	5	4	No	No	NA	No	No	Sí	No	Sí	NA	NA	NA	NA	NA	3	NA	3	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	5	Está Igual	7	8	MARTILLERO PUBLICO	2 AÑOS	COQUIMBO	JEFE	V1. PRE CRISIS
k79WMlpkcLHi	PYME	Mas	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel,Telefónica/ Movistar	Otra ¿Cuál?	Telefónica/ Movistar	NA	AMAZON Y GOOGLE	NA	7. Muy satisfecho	PORQUE NUNCA HEMOS TENIDO PROBLEMAS CON ELLOS Y EL VALOR TAMBIÉN QUE TIENE ES BUENO, MIENTRAS QUE MOVISTAR ES MUY CARO Y HEMOS TENIDO PROBLEMAS CON ELLOS Y EL SERVICIO DE POST-VENTA ES PÉSIMO EN MOVISTAR OSEA SI ME DIJERAS CON QUIEN TE QUEDAS YO ME QUEDO CON ENTEL Y ME RETIRARÍA DE MOVISTAR, PERO NO ME DEJAN PORQUE FIRMAMOS UN CONTRATO POR DOS AÑOS OSEA SI YO ME RETIRO ME DICEN QUE TENGO QUE PAGAR UN DELTA Y ES MUY CARO. DE TRANSMISIÓN, DE PAGOS DE SERVICIO, DE POST-VENTA, NO DE NADA. LOS FONDOS DE PORQUE CONTRATAMOS SERVICIO CON MOVISTAR FUE PORQUE ERA UN POQUITO LENTO ENTEL, MOVISTAR ES UN POQUITO MAS LENTO QUE ENTEL. A TRANSMISIÓN DE DATA	No ha tenido problemas/ conforme/ todo bien,Buenos precios	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	7	7	NS/NR	7	7	No	No	NA	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Está Igual	7	12	PROCESAMIENTO DE DATOS	6 AÑOS	PROVIDENCIA SANTIAGO	GERENTE COMERCIAL	V1. PRE CRISIS
kuOmDqCZZC9j	PYME	Mas	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7. Muy satisfecho	BUEN SERVICIO Y TIENEN MUY BUEN SERVICIO POST-VENTA, SI HAY ALGÚN DESPERFECTO O ALGUNA COSA ELLOS SON MUY RÁPIDOS EN REPARAR EL SERVICIO, SI SE CAE LA LINEA U OTRA COMPAÑÍA CORTA ALGÚN CABLE, ELLOS SON SUMAMENTE RÁPIDOS, EL SERVICIO ES ESTABLE, NO SE CAE, ES BUENO, COMO POR EJEMPLO YO TENGO EN LA CASA VTR SE QUEDA PEGADO, SE CORTA, NO ENTEL NO, LA ATENCIÓN POST-VENTA DE LOS EJECUTIVOS, EL SERVICIO POST-VENTA ES MUY BUENO, EN LA ATENCIÓN DEL EJECUTIVO HASTA EN EL CALL CENTER ATIENDEN BIEN, ESO NO MAS.	Buen servicio/ eficiente,Buen servicio post venta,Soluciones rápidas,Buen servicio de los ejecutivos/ apoyo/ atención	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	7	7	7	7	7	No	No	NA	No	No	Sí	No	No	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Ha mejorado	10. Muy probable	25	CONSTRUCTORA	20 AÑOS	COMUNA DE COQUIMBO CUARTA REGION	JEFE ADMINISTRATIVA	V1. PRE CRISIS
C8f7tbuf2Mlk	PYME	Mas	REGIONES	Hombre	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Telefónica/ Movistar	NA	NA	NA	6	PORQUE EL SERVICIO QUE TENGO  CON ELLOS ES NORMAL NO TENGO MAYORES DIFICULTADES PERO PARA 7 NO, CON 6 ESTA BIEN, CUANDO YO DIGO NORMAL ES CUANDO TENGO UN SERVICIO    QUE ESTOY DE ACUERDO Y CONFORME CON EL	Buen servicio/ eficiente,No ha tenido problemas/ conforme/ todo bien	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	6	6	NS/NR	6	6	No	No	NA	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	5	Está Igual	7	25	COMERCIO EXTERIOR	5 AÑOS	IQUIQUE	JEFE DE OFICINA, DUEÑO DE LA EMPRESA	V1. PRE CRISIS
35e3V6Ddde1z	PYME	Mas	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	NA	7. Muy satisfecho	POR LA ATENCIÓN QUE TIENEN ELLOS EN TODO, EN TODO	Buena atención/ amables	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	6	6	6	5	7	No	Sí	NA	No	Sí	No	No	No	NA	4	NA	NA	4	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	6	Está Igual	8	40	ESTACION DE SERVIVICOS	10 AÑOS	BUIN	ADMINISTRADORA	V1. PRE CRISIS
YgVFfDIH5JyH	GGEE	MV	SANTIAGO	Hombre	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	4	"PRIMERO PORQUE NO LLEGA A TODOS LOS LUGARES DE CHILE, YO TENGO UNA PROPIEDAD EN EL LAGO TODOS LOS SANTOS, Y NO LLEGA A LAGO TODOS LOS SANTOS Y SEGUNDO PORQUE ES MUY CARA; SI, LO QUE COBRA POR EL VALOR DE SUSCRIPCIÓN MENSUAL"	Mala cobertura,Es caro/ planes caros	5	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	5	4	6	5	6	No	Sí	NA	No	No	No	Sí	No	NA	5	NA	NA	NA	NA	5	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	5	NA	NA	Sabe que tiene un ejecutivo pero desconoce su función <b>(NO LEER)</b>	NA	NA	NA	No	NA	NA	NA	NA	No cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	3	Está Igual	5	500	CONSERVADOR VIENES RAÍCES	20 AÑOS	SANTIAGO	GERENTE	V1. PRE CRISIS
L2aSV9FQ0nl7	GGEE	AV	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7. Muy satisfecho	CREO HASTA AHORA LOS FALLOS QUE HEMOS TENIDO LOS RESPONDEN RÁPIDO SON SÚPER EFICIENTES Y EN GENERAL LA RED FUNCIONA SÚPER, BÁSICAMENTE ES LA POTENCIA QUE PODRÍAMOS TENER SON PREOCUPADOS EN ESE ASPECTO SIEMPRE	Soluciones rápidas,Funciona bien	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	5	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	COMUNA DE RANQUI	NA	V2. POST CRISIS
oAW071ooABzQ	PYME	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	NA	5	PORQUE NO ES LO OPTIMO PERO NO ES MALO ESPECÍFICAMENTE EN DE REPENTE LAS BANDAS SE CAE Y ENSEGUIDA  SE CAE EL INTERNET,HAN HABIDO PROBLEMAS DE LOS CHICOS QUE SE HA SOLUCIONADO DE INMEDIATO.	Se cae el servicio/ se corta/ intermitente,Mal servicio internet/ se cae/ lento/ falla,No es perfecto/ podría ser mejor	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	5	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	TEMUCO	NA	V2. POST CRISIS
19szWj8tDLWe	MICRO	MV	SANTIAGO	Hombre	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7. Muy satisfecho	PUES NO TENGO NINGÚN PROBLEMA EN NADA, EN LAS COMUNICACIONES, EN LAS POCAS VECES QUE HAY ALGÚN PROBLEMA SE SOLUCIONA RÁPIDAMENTE, ES UNA RELACIÓN NORMAL	No ha tenido problemas/ conforme/ todo bien,Buen servicio de los ejecutivos/ apoyo/ atención,Soluciones rápidas	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	7	7	7	NS/NR	7	No	No	NA	No	No	No	Sí	No	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	7	NA	NA	Equipo de ejecutivos llamado Círculo de Atención Preferente  que es el *106 desde móvil y <br/>6003600106 desde red fija que atiende sus requerimientos de post-venta	NA	NA	Sí	NA	NA	NA	7	NA	Cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Está Igual	9	3	ABOGADOS	10 AÑOS	LAS CONDES	ADMINISTRADOR	V1. PRE CRISIS
6vueqPZGtcqH	PYME	Mas	REGIONES	Mujer	No	Sí	"a.	Internet Banda Ancha"	Entel	NA	NA	NA	NA	NA	7. Muy satisfecho	"PORQUE NUNCA TENGO PROBLEMAS PORQUE SI ME ATRASO EN UNA CUENTA, CUANDO ME LA CORTAN, ELLOS LUEGO LA VUELVEN A DAR INMEDIATAMENTE DESPUÉS DEL PAGO, PORQUE TIENEN LAS FACTURAS VÍA ELECTRÓNICA, PORQUE CONECTARSE A LA PÁGINA WEB ES MUY FÁCIL, TIENE MUCHOS BENEFICIOS; LOS SERVICIOS FIJOS ES POR LO MISMO"	No ha tenido problemas/ conforme/ todo bien,Soluciones rápidas,Buen servicio/ eficiente	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	4	4	4	7	7	No	No	NA	No	No	Sí	No	No	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	A través de la web con clave Mi Entel Empresas	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Está Igual	10. Muy probable	3	LIBRERÍA	6 AÑOS	SANTIAGO CENTRO	ADMINISTRACIÓN	V1. PRE CRISIS
CzlBmNUj7spl	MICRO	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	PORQUE FUNCIONA BIEN, MIRA DA EL SERVICIO QUE CORRESPONDE Y CUANDO TENGO ALGÚN PROBLEMA TÉCNICO, ACUDEN RÁPIDAMENTE, POR LO MENOS UN EJEMPLO, NO ESCUCHABA CON LA ALTA VOZ DEL TELÉFONO FIJO Y LLAME Y ME LO VINIERON CAMBIAR INMEDIATAMENTE.	Funciona bien,Buen servicio/ eficiente,Soluciones rápidas	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	4	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	NA	NA	5	No	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	ÑOÑOA	NA	V2. POST CRISIS
2Y3CTf1YF1ad	MICRO	AV	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Otra ¿Cuál?	Entel	Entel	MUNDO PACIFICO	NA	NA	2	TIENE MUY POCO SEÑAL, SE CAE MUCHAS VECES, EL TIEMPO PARA RESOLVER EL PROBLEMA NO ES RÁPIDO, PORQUE CUANDO SE DESCONECTA EL INTERNET SE DESCONECTA LA TELEFONÍA TAMBIÉN, EL SERVICIO ES MUY LENTO PARA PODER REPARAR.	Mala señal,Se cae el servicio/ se corta/ intermitente,Mal servicio,Servicio lento	5	NA	NA	NA	NA	MPLS	3	3	3	3	4	5	No	Sí	NA	No	No	Sí	Sí	Sí	NA	1	NA	NA	NA	4	4	1	NA	Ejecutivo asignado	NA	NA	NA	Ejecutivo asignado	A través del Call center, empresa línea 600, línea 800	Ejecutivo asignado	3	3	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	Sí	NA	NA	NA	2	NA	NA	NA	No cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	Sí	CORTE DEL INTERNET, VARIAS VECES A LA SEMANA QUEDAN DE ENVIAR TÉCNICO A REVISAR, NO LLEGAN.	Problemas con internet/ caídas/ internet lento,Lento/ lentitud/ demoran	Sí	Si fue solucionado	5	2	Ha empeorado	0. Nada probable	10	TEATRO	3 AÑOS	SAN JAVIER REGION MAULE	JEFE	V1. PRE CRISIS
0NbgQiMQRa7c	MICRO	MV	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	NA	7. Muy satisfecho	PORQUE NO HEMOS TENIDO MAYORES PROBLEMAS, CADA VEZ QUE SOLICITAMOS ALGO NOS ATIENDEN RÁPIDAMENTE. EL SERVICIO ES BUENO.	No ha tenido problemas/ conforme/ todo bien,Buen servicio/ eficiente,Soluciones rápidas	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	6	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	No	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	LOS ANGELES	NA	V2. POST CRISIS
Ay3B4JkXje7g	PYME	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS)"	Entel	Entel	NA	NA	NA	NA	6	"PORQUE EN GENERAL YO HE TENIDO MUY BUENA IMPRESIÓN DE ENTEL, ESTOY CON ELLA HACE MAS DE 20 AÑOS PERO HAY COSAS QUE NO ME GUSTAN; UNA DE ELLAS ES QUE PASA A SER UNA EMPRESA DE COMUNICACIONES CUANDO UNO TIENE ALGUNA EMERGENCIA, ALGUNA CONSULTA QUE HACER, COMUNICARSE CON ELLOS ES LO MAS DIFÍCIL QUE HAY Y POR ALGUNOS PERIODOS RESULTA IMPOSIBLE. EN LO DEMÁS ES FANTÁSTICO, PERO TIENEN ESE PROBLEMA Y LO TIENEN HACE TIEMPO YA QUE UNO LLAMA Y LE SALE UNAS GRABACIONES QUE LO TIRAN PA TODOS LADOS PERO EN EL FONDO NO QUIEREN ATENDER LA LLAMADA."	No tiene contacto con los clientes/ difícil contactarse con la cia.	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	5	6	5	4	6	Sí	Sí	NA	No	No	No	No	No	6	6	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Ha empeorado	2	5	CONSULTORÍA	14 A 15 AÑOS APROXIMADAMENTE.	SANTIAGO	GERENTE GENERAL	V1. PRE CRISIS
2PUaltZFJj4G	S/Info	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7. Muy satisfecho	PORQUE CADA VEZ QUE TENGO ALGÚN PROBLEMA O ALGO, VIENEN INMEDIATAMENTE, NO ME TRAMITAN, CUMPLEN CON TODO, SE VIENEN, VEN INMEDIATAMENTE LA FALLA, SI HAY ALGUNA INQUIETUD LO RESUELVEN.	Soluciones rápidas	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	7	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	SANTIAGO CENTRO.	NA	V2. POST CRISIS
